time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:18:27:257,0.0333,0.548,0.8399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:18:27:257,-0.1002,0.6128,0.7395,0,0,0,0,0,0,0,0,0,0,0,0,48.74067359,9.10341931,0,Stop
14:18:27:258,-0.1229,0.5776,0.8487,0,0,0,0,0,0,0,0,0,0,0,0,48.74067359,9.10341931,0,Stop
14:18:27:291,0.0029,0.5453,0.8465,0,0,0,0,0,0,0,0,0,0,0,0,48.74067359,9.10341931,0,Stop
14:18:27:292,0.0029,0.5453,0.8465,0,0,0,-0.0045,0.0153,0.0196,0,0,0,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:298,-0.0418,0.5762,0.7986,0,0,0,-0.0045,0.0153,0.0196,0,0,0,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:319,-0.1034,0.5781,0.826,0,0,0,-0.0045,0.0153,0.0196,0,0,0,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:344,-0.0335,0.5571,0.8409,0,0,0,-0.0045,0.0153,0.0196,0,0,0,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:346,-0.0335,0.5571,0.8409,0,0,0,-0.0061,0.0133,0.0229,0,0,0,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:360,-0.0335,0.5571,0.8409,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:363,-0.0271,0.5652,0.8143,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:366,-0.0789,0.5701,0.8333,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:370,-0.0789,0.5701,0.8333,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:386,-0.0382,0.5625,0.8258,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:404,-0.0327,0.5637,0.8241,0,0,0,-0.0061,0.0133,0.0229,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:413,-0.0327,0.5637,0.8241,0,0,0,-0.0031,0.0039,0.0047,-18.6904,-16.5066,-35.9656,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:424,-0.0327,0.5637,0.8241,0,0,0,-0.0031,0.0039,0.0047,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:435,-0.065,0.5686,0.8314,0,0,0,-0.0031,0.0039,0.0047,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:437,-0.065,0.5686,0.8314,0.0333,-0.0158,0.0071,-0.0031,0.0039,0.0047,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:453,-0.035,0.5654,0.8211,0.0333,-0.0158,0.0071,-0.0031,0.0039,0.0047,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:483,-0.0401,0.5732,0.8143,0.0333,-0.0158,0.0071,-0.0031,0.0039,0.0047,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:486,-0.0401,0.5732,0.8143,0.0333,-0.0158,0.0071,0.0007,-0.0068,-0.0132,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:489,-0.0591,0.571,0.8328,0.0333,-0.0158,0.0071,0.0007,-0.0068,-0.0132,-17.019,-19.5932,-43.8224,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:492,-0.0591,0.571,0.8328,0.0333,-0.0158,0.0071,0.0007,-0.0068,-0.0132,-16.9946,-19.5078,-43.8102,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:504,-0.0433,0.574,0.8162,0.0333,-0.0158,0.0071,0.0007,-0.0068,-0.0132,-16.9946,-19.5078,-43.8102,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:506,-0.0433,0.574,0.8162,0.0841,-0.0157,-0.0163,0.0007,-0.0068,-0.0132,-16.9946,-19.5078,-43.8102,0,0,0,48.74067362,9.10341922,0,Stop
14:18:27:508,-0.0433,0.574,0.8162,0.0841,-0.0157,-0.0163,0.0007,-0.0068,-0.0132,-16.9946,-19.5078,-43.8102,66.1198,-34.3531,-3.2711,48.74067362,9.10341922,0,Stop
14:18:27:552,-0.0433,0.574,0.8162,0.0841,-0.0157,-0.0163,0.0032,-0.0017,-0.0154,-16.9946,-19.5078,-43.8102,66.1198,-34.3531,-3.2711,48.74067362,9.10341922,0,Stop
14:18:27:554,-0.0552,0.5762,0.8143,0.0841,-0.0157,-0.0163,0.0032,-0.0017,-0.0154,-16.9946,-19.5078,-43.8102,66.1198,-34.3531,-3.2711,48.74067362,9.10341922,0,Stop
14:18:27:556,-0.0679,0.574,0.8253,0.0841,-0.0157,-0.0163,0.0032,-0.0017,-0.0154,-16.9946,-19.5078,-43.8102,66.1198,-34.3531,-3.2711,48.74067362,9.10341922,0,Stop
