time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:10:30:603,-0.1054,0.6986,0.5914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Dummy
14:10:30:604,-0.2092,0.6842,0.6921,0,0,0,0,0,0,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:604,-0.1474,0.5945,0.8786,0,0,0,0,0,0,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:635,-0.0701,0.6197,0.7798,0,0,0,0,0,0,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:642,-0.1188,0.6661,0.65,0,0,0,0,0,0,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:644,-0.1188,0.6661,0.65,0,0,0,-0.0095,-0.0154,-0.0117,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:660,-0.1682,0.6165,0.8092,0,0,0,-0.0095,-0.0154,-0.0117,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:698,-0.1224,0.6084,0.8272,0,0,0,-0.0095,-0.0154,-0.0117,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:700,-0.0997,0.6478,0.7099,0,0,0,-0.0095,-0.0154,-0.0117,0,0,0,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:701,-0.0997,0.6478,0.7099,0,0,0,-0.0095,-0.0154,-0.0117,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:713,-0.1499,0.6392,0.7441,0,0,0,-0.0095,-0.0154,-0.0117,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:714,-0.1499,0.6392,0.7441,0,0,0,-0.0055,-0.033,-0.0618,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:716,-0.1499,0.6392,0.7441,0,0,0,-0.0055,-0.033,-0.0618,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:765,-0.1562,0.6185,0.8153,0,0,0,-0.0055,-0.033,-0.0618,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:767,-0.1132,0.6422,0.7414,0,0,0,-0.0055,-0.033,-0.0618,-17.8852,-37.4174,-33.0254,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:769,-0.1132,0.6422,0.7414,0,0,0,-0.0055,-0.033,-0.0618,-18.3488,-37.1002,-33.0864,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:781,-0.1237,0.647,0.7331,0,0,0,-0.0055,-0.033,-0.0618,-18.3488,-37.1002,-33.0864,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:783,-0.1237,0.647,0.7331,0,0,0,-0.0036,-0.0178,-0.0529,-18.3488,-37.1002,-33.0864,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:784,-0.1237,0.647,0.7331,-0.0372,0.0001,0.0183,-0.0036,-0.0178,-0.0529,-18.3488,-37.1002,-33.0864,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:800,-0.1648,0.6238,0.7984,-0.0372,0.0001,0.0183,-0.0036,-0.0178,-0.0529,-18.3488,-37.1002,-33.0864,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:832,-0.1648,0.6238,0.7984,-0.0372,0.0001,0.0183,-0.0036,-0.0178,-0.0529,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:835,-0.1525,0.6307,0.7625,-0.0372,0.0001,0.0183,-0.0036,-0.0178,-0.0529,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:837,-0.1349,0.6444,0.7294,-0.0372,0.0001,0.0183,-0.0036,-0.0178,-0.0529,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:850,-0.1349,0.6444,0.7294,-0.0372,0.0001,0.0183,0.0005,0.0233,0.0222,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:852,-0.155,0.6361,0.7771,-0.0372,0.0001,0.0183,0.0005,0.0233,0.0222,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:854,-0.155,0.6361,0.7771,-0.0581,0.047,-0.0242,0.0005,0.0233,0.0222,-18.3366,-37.2832,-33.1108,0,0,0,48.74031718,9.09907207,0,Dummy
14:10:30:855,-0.155,0.6361,0.7771,-0.0581,0.047,-0.0242,0.0005,0.0233,0.0222,-18.3366,-37.2832,-33.1108,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:898,-0.155,0.6361,0.7771,-0.0581,0.047,-0.0242,0.0005,0.0233,0.0222,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:900,-0.1596,0.638,0.7625,-0.0581,0.047,-0.0242,0.0005,0.0233,0.0222,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:901,-0.1516,0.6439,0.7292,-0.0581,0.047,-0.0242,0.0005,0.0233,0.0222,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:920,-0.1516,0.6439,0.7292,-0.0581,0.047,-0.0242,0.0024,0.0422,0.0763,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:922,-0.1606,0.6382,0.7605,-0.0581,0.047,-0.0242,0.0024,0.0422,0.0763,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
14:10:30:923,-0.1606,0.6382,0.7605,-0.1665,0.0308,-0.0464,0.0024,0.0422,0.0763,-18.239,-37.149,-32.9766,109.0948,-39.1101,-7.2169,48.74031718,9.09907207,0,Dummy
