time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:49:08:687,0.0949,0.7614,0.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:49:08:687,0.0479,0.7548,0.6749,0,0,0,0,0,0,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:687,0.0472,0.7492,0.6696,0,0,0,0,0,0,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:724,0.1015,0.7409,0.673,0,0,0,0,0,0,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:727,0.1015,0.7409,0.673,0,0,0,-0.0085,-0.0153,-0.0056,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:729,0.0609,0.7585,0.6493,0,0,0,-0.0085,-0.0153,-0.0056,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:744,0.0465,0.7504,0.6893,0,0,0,-0.0085,-0.0153,-0.0056,0,0,0,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:785,0.0465,0.7504,0.6893,0,0,0,-0.0085,-0.0153,-0.0056,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:787,0.0873,0.7492,0.6486,0,0,0,-0.0085,-0.0153,-0.0056,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:789,0.0679,0.7485,0.6744,0,0,0,-0.0085,-0.0153,-0.0056,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:791,0.0679,0.7485,0.6744,0,0,0,-0.0032,-0.0004,-0.0079,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:803,0.0494,0.746,0.6698,0,0,0,-0.0032,-0.0004,-0.0079,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:805,0.0494,0.746,0.6698,0,0,0,-0.0032,-0.0004,-0.0079,-26.1324,-30.7928,-25.5834,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:852,0.0494,0.746,0.6698,0,0,0,-0.0032,-0.0004,-0.0079,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:854,0.0589,0.7434,0.6659,0,0,0,-0.0032,-0.0004,-0.0079,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:855,0.043,0.7485,0.6666,0,0,0,-0.0032,-0.0004,-0.0079,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:862,0.043,0.7485,0.6666,0,0,0,0.0012,0.0067,-0.0012,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:869,0.0538,0.7434,0.6759,0,0,0,0.0012,0.0067,-0.0012,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:872,0.0538,0.7434,0.6759,0.0067,-0.0098,-0.006,0.0012,0.0067,-0.0012,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:878,0.0577,0.7439,0.6635,0.0067,-0.0098,-0.006,0.0012,0.0067,-0.0012,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:915,0.0413,0.7451,0.6696,0.0067,-0.0098,-0.006,0.0012,0.0067,-0.0012,-25.5834,-29.5362,-25.2906,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:918,0.0413,0.7451,0.6696,0.0067,-0.0098,-0.006,0.0012,0.0067,-0.0012,-25.6078,-29.7314,-25.2418,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:920,0.0577,0.7443,0.6696,0.0067,-0.0098,-0.006,0.0012,0.0067,-0.0012,-25.6078,-29.7314,-25.2418,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:928,0.0577,0.7443,0.6696,0.0067,-0.0098,-0.006,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:938,0.0699,0.7517,0.6671,0.0067,-0.0098,-0.006,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,0,0,0,48.74027616,9.09911449,0,Stop
14:49:08:940,0.0699,0.7517,0.6671,0.0067,-0.0098,-0.006,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:08:942,0.0699,0.7517,0.6671,-0.0772,-0.0277,0.0038,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:08:985,0.066,0.7512,0.6737,-0.0772,-0.0277,0.0038,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:08:987,0.0609,0.7522,0.663,-0.0772,-0.0277,0.0038,0.0011,-0.0016,-0.0055,-25.6078,-29.7314,-25.2418,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:08:988,0.0609,0.7522,0.663,-0.0772,-0.0277,0.0038,0.0011,-0.0016,-0.0055,-25.6322,-29.5728,-25.1808,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:08:998,0.0609,0.7522,0.663,-0.0772,-0.0277,0.0038,-0.0004,-0.0015,-0.0132,-25.6322,-29.5728,-25.1808,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:09:012,0.0635,0.7504,0.6659,-0.0772,-0.0277,0.0038,-0.0004,-0.0015,-0.0132,-25.6322,-29.5728,-25.1808,92.4576,-48.287,3.7405,48.74027616,9.09911449,0,Stop
14:49:09:014,0.0635,0.7504,0.6659,-0.0772,-0.0277,0.0038,-0.0004,-0.0015,-0.0132,-25.6322,-29.5728,-25.1808,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:016,0.0635,0.7504,0.6659,-0.0376,-0.0074,0.0034,-0.0004,-0.0015,-0.0132,-25.6322,-29.5728,-25.1808,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:052,0.0635,0.7504,0.6659,-0.0376,-0.0074,0.0034,-0.0004,-0.0015,-0.0132,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:054,0.0596,0.749,0.6669,-0.0376,-0.0074,0.0034,-0.0004,-0.0015,-0.0132,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:056,0.0425,0.7519,0.6627,-0.0376,-0.0074,0.0034,-0.0004,-0.0015,-0.0132,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:067,0.0386,0.757,0.6547,-0.0376,-0.0074,0.0034,-0.0004,-0.0015,-0.0132,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:070,0.0386,0.757,0.6547,-0.0376,-0.0074,0.0034,0.0013,0.0043,-0.0092,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:078,0.056,0.7507,0.6654,-0.0376,-0.0074,0.0034,0.0013,0.0043,-0.0092,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
14:49:09:080,0.056,0.7507,0.6654,0.033,0.0267,-0.005,0.0013,0.0043,-0.0092,-25.681,-29.5484,-25.3028,92.5025,-48.2262,3.5075,48.74027616,9.09911449,0,Stop
