time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:52:09:434,0.0129,0.7312,0.6857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:52:09:435,0.1029,0.712,0.6803,0,0,0,0,0,0,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:435,0.0606,0.7011,0.7285,0,0,0,0,0,0,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:450,0.0066,0.723,0.7058,0,0,0,0,0,0,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:463,0.0745,0.7099,0.7021,0,0,0,0,0,0,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:471,0.0745,0.7099,0.7021,0,0,0,-0.002,0.0023,-0.0096,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:493,0.0601,0.7086,0.7041,0,0,0,-0.002,0.0023,-0.0096,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:494,0.0161,0.7138,0.7121,0,0,0,-0.002,0.0023,-0.0096,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:514,0.065,0.7045,0.708,0,0,0,-0.002,0.0023,-0.0096,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:527,0.065,0.7045,0.708,0,0,0,0.0035,0.0166,0.0173,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:529,0.0765,0.7062,0.7026,0,0,0,0.0035,0.0166,0.0173,0,0,0,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:530,0.0765,0.7062,0.7026,0,0,0,0.0035,0.0166,0.0173,-14.579,-16.348,-40.8334,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:538,0.0765,0.7062,0.7026,0,0,0,0.0035,0.0166,0.0173,-14.579,-16.348,-40.8334,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:560,0.057,0.7052,0.7141,0,0,0,0.0035,0.0166,0.0173,-14.579,-16.348,-40.8334,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:599,0.0885,0.7003,0.7226,0,0,0,0.0035,0.0166,0.0173,-14.579,-16.348,-40.8334,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:602,0.0878,0.7101,0.7109,0,0,0,0.0035,0.0166,0.0173,-14.579,-16.348,-40.8334,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:605,0.0878,0.7101,0.7109,0,0,0,0.0035,0.0166,0.0173,-14.823,-16.5798,-40.931,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:608,0.0878,0.7101,0.7109,0,0,0,-0.0009,0.0016,0.0041,-14.823,-16.5798,-40.931,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:609,0.0704,0.7037,0.7114,0,0,0,-0.0009,0.0016,0.0041,-14.823,-16.5798,-40.931,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:611,0.0704,0.7037,0.7114,0.0354,-0.023,0.0026,-0.0009,0.0016,0.0041,-14.823,-16.5798,-40.931,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:627,0.0807,0.6957,0.7158,0.0354,-0.023,0.0026,-0.0009,0.0016,0.0041,-14.823,-16.5798,-40.931,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:663,0.0807,0.6957,0.7158,0.0354,-0.023,0.0026,-0.0009,0.0016,0.0041,-15.067,-16.6042,-40.992,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:665,0.0599,0.7113,0.7041,0.0354,-0.023,0.0026,-0.0009,0.0016,0.0041,-15.067,-16.6042,-40.992,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:667,0.0599,0.7113,0.7041,0.0354,-0.023,0.0026,-0.0037,-0.0055,-0.0224,-15.067,-16.6042,-40.992,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:676,0.0508,0.7118,0.7148,0.0354,-0.023,0.0026,-0.0037,-0.0055,-0.0224,-15.067,-16.6042,-40.992,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:678,0.0508,0.7118,0.7148,0.2025,-0.0385,0.0541,-0.0037,-0.0055,-0.0224,-15.067,-16.6042,-40.992,0,0,0,48.74084927,9.1036361,0,Stop
14:52:09:680,0.0508,0.7118,0.7148,0.2025,-0.0385,0.0541,-0.0037,-0.0055,-0.0224,-15.067,-16.6042,-40.992,35.452,-45.1213,2.8016,48.74084927,9.1036361,0,Stop
14:52:09:692,0.0584,0.7074,0.7131,0.2025,-0.0385,0.0541,-0.0037,-0.0055,-0.0224,-15.067,-16.6042,-40.992,35.452,-45.1213,2.8016,48.74084927,9.1036361,0,Stop
