time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:57:14:926,-0.0723,0.7468,0.6864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:57:14:926,-0.045,0.7609,0.6102,0,0,0,0,0,0,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:14:926,-0.0399,0.727,0.7136,0,0,0,0,0,0,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:14:962,-0.0794,0.7519,0.6823,0,0,0,0,0,0,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:14:967,-0.0164,0.7409,0.651,0,0,0,0,0,0,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:14:969,-0.0164,0.7409,0.651,0,0,0,-0.012,0.0117,0.041,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:14:986,-0.0337,0.7331,0.6762,0,0,0,-0.012,0.0117,0.041,0,0,0,0,0,0,48.74562489,9.10610725,0,Stop
14:57:15:026,-0.0337,0.7331,0.6762,0,0,0,-0.012,0.0117,0.041,-17.8242,-34.4528,-24.1194,0,0,0,48.74562489,9.10610725,0,Stop
14:57:15:028,-0.0672,0.7458,0.6911,0,0,0,-0.012,0.0117,0.041,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:030,-0.0103,0.7404,0.6659,0,0,0,-0.012,0.0117,0.041,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:033,-0.0103,0.7404,0.6659,0,0,0,0.0008,0.016,0.0104,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:045,-0.0269,0.737,0.6766,0,0,0,0.0008,0.016,0.0104,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:047,-0.0269,0.737,0.6766,0,0,0,0.0008,0.016,0.0104,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:054,-0.0491,0.7404,0.6781,0,0,0,0.0008,0.016,0.0104,-17.8242,-34.4528,-24.1194,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:092,-0.0491,0.7404,0.6781,0,0,0,0.0008,0.016,0.0104,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:095,-0.0125,0.7331,0.6764,0,0,0,0.0008,0.016,0.0104,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:098,-0.0369,0.7404,0.6803,0,0,0,0.0008,0.016,0.0104,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:104,-0.0369,0.7404,0.6803,0,0,0,-0.0005,-0.0136,-0.0273,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:115,-0.0377,0.737,0.6808,0,0,0,-0.0005,-0.0136,-0.0273,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:116,-0.0377,0.737,0.6808,0.0346,0.0094,-0.0008,-0.0005,-0.0136,-0.0273,-19.2516,-34.2576,-24.644,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:159,-0.0377,0.737,0.6808,0.0346,0.0094,-0.0008,-0.0005,-0.0136,-0.0273,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:159,-0.0198,0.7341,0.6735,0.0346,0.0094,-0.0008,-0.0005,-0.0136,-0.0273,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:160,-0.0486,0.7441,0.6754,0.0346,0.0094,-0.0008,-0.0005,-0.0136,-0.0273,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:171,-0.0486,0.7441,0.6754,0.0346,0.0094,-0.0008,-0.0004,-0.0324,-0.0606,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:178,-0.0477,0.746,0.6766,0.0346,0.0094,-0.0008,-0.0004,-0.0324,-0.0606,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:181,-0.0477,0.746,0.6766,0.0832,-0.0197,0.0084,-0.0004,-0.0324,-0.0606,-19.3614,-34.1478,-24.7538,0,0,0,48.74562487,9.10610727,0,Stop
14:57:15:182,-0.0477,0.746,0.6766,0.0832,-0.0197,0.0084,-0.0004,-0.0324,-0.0606,-19.3614,-34.1478,-24.7538,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:227,-0.0477,0.746,0.6766,0.0832,-0.0197,0.0084,-0.0004,-0.0324,-0.0606,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:229,-0.043,0.748,0.6625,0.0832,-0.0197,0.0084,-0.0004,-0.0324,-0.0606,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:230,-0.0643,0.7514,0.6688,0.0832,-0.0197,0.0084,-0.0004,-0.0324,-0.0606,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:242,-0.0643,0.7514,0.6688,0.0832,-0.0197,0.0084,0.0028,-0.0095,-0.0494,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:244,-0.0626,0.7465,0.6718,0.0832,-0.0197,0.0084,0.0028,-0.0095,-0.0494,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:252,-0.0667,0.7531,0.6603,0.0832,-0.0197,0.0084,0.0028,-0.0095,-0.0494,-19.4468,-33.9648,-24.583,105.6279,-47.517,-2.3684,48.74562487,9.10610727,0,Stop
14:57:15:254,-0.0667,0.7531,0.6603,0.0832,-0.0197,0.0084,0.0028,-0.0095,-0.0494,-19.4468,-33.9648,-24.583,105.8077,-47.459,-2.2384,48.74562487,9.10610727,0,Stop
14:57:15:256,-0.0667,0.7531,0.6603,0.0205,0.0214,-0.0325,0.0028,-0.0095,-0.0494,-19.4468,-33.9648,-24.583,105.8077,-47.459,-2.2384,48.74562487,9.10610727,0,Stop
14:57:15:292,-0.0667,0.7531,0.6603,0.0205,0.0214,-0.0325,0.0028,-0.0095,-0.0494,-19.459,-33.8916,-24.6074,105.8077,-47.459,-2.2384,48.74562487,9.10610727,0,Stop
