time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:53:06:223,-0.1953,0.7886,0.6089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:53:06:223,-0.0941,0.7773,0.5647,0,0,0,0,0,0,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:224,-0.1425,0.747,0.6874,0,0,0,0,0,0,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:258,-0.1941,0.7739,0.6339,0,0,0,0,0,0,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:264,-0.0978,0.7675,0.5972,0,0,0,0,0,0,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:266,-0.0978,0.7675,0.5972,0,0,0,-0.0158,-0.0029,0.013,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:282,-0.1303,0.7631,0.6292,0,0,0,-0.0158,-0.0029,0.013,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:319,-0.1303,0.7631,0.6292,0,0,0,-0.0052,-0.0044,-0.0043,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:320,-0.1838,0.7617,0.672,0,0,0,-0.0052,-0.0044,-0.0043,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:322,-0.1144,0.7592,0.6165,0,0,0,-0.0052,-0.0044,-0.0043,0,0,0,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:323,-0.1144,0.7592,0.6165,0,0,0,-0.0052,-0.0044,-0.0043,-15.1524,-34.1112,-27.267,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:329,-0.1227,0.7592,0.6241,0,0,0,-0.0052,-0.0044,-0.0043,-15.1524,-34.1112,-27.267,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:331,-0.1227,0.7592,0.6241,0,0,0,-0.0052,-0.0044,-0.0043,-15.1524,-34.1112,-27.267,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:349,-0.166,0.7578,0.6566,0,0,0,-0.0052,-0.0044,-0.0043,-15.1524,-34.1112,-27.267,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:388,-0.166,0.7578,0.6566,0,0,0,-0.0052,-0.0044,-0.0043,-15.25,-34.099,-27.1328,0,0,0,48.74559184,9.10608394,0,Stop
14:53:06:390,-0.1176,0.7534,0.6478,0,0,0,-0.0052,-0.0044,-0.0043,-15.25,-34.099,-27.1328,0,0,0,48.74559184,9.10608394,0,Stop
