time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:06:47:164,-0.0244,0.7208,0.6063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:06:47:166,0.0159,0.6774,0.7048,0,0,0,0,0,0,0,0,0,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:192,0.0516,0.593,0.903,0,0,0,0,0,0,0,0,0,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:200,0.0516,0.593,0.903,0,0,0,-0.0174,-0.0182,-0.0007,0,0,0,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:201,0.0154,0.6675,0.7265,0,0,0,-0.0174,-0.0182,-0.0007,0,0,0,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:227,0.0164,0.6747,0.7001,0,0,0,-0.0174,-0.0182,-0.0007,0,0,0,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:256,0.0164,0.6747,0.7001,0,0,0,-0.0174,-0.0182,-0.0007,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:258,0.0171,0.6268,0.8245,0,0,0,-0.0174,-0.0182,-0.0007,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:270,0.0166,0.6492,0.7747,0,0,0,-0.0174,-0.0182,-0.0007,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:272,0.0166,0.6492,0.7747,0,0,0,-0.0088,-0.0091,0.0072,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:274,0.0166,0.6492,0.7747,0,0,0,-0.0088,-0.0091,0.0072,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:281,0.0445,0.6602,0.7233,0,0,0,-0.0088,-0.0091,0.0072,-23.7778,-26.4618,-33.0742,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:323,0.0445,0.6602,0.7233,0,0,0,-0.0088,-0.0091,0.0072,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:325,0.0379,0.6348,0.7974,0,0,0,-0.0088,-0.0091,0.0072,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:327,0.0188,0.65,0.7683,0,0,0,-0.0088,-0.0091,0.0072,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:339,0.0188,0.65,0.7683,0,0,0,-0.0116,-0.0108,0.0059,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:340,0.0188,0.65,0.7683,-0.0075,-0.0159,0.0435,-0.0116,-0.0108,0.0059,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:342,0.0552,0.649,0.7421,-0.0075,-0.0159,0.0435,-0.0116,-0.0108,0.0059,-23.79,-26.5716,-32.9034,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:389,0.0552,0.649,0.7421,-0.0075,-0.0159,0.0435,-0.0116,-0.0108,0.0059,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:391,0.0279,0.6402,0.7761,-0.0075,-0.0159,0.0435,-0.0116,-0.0108,0.0059,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:393,0.0154,0.6478,0.7681,-0.0075,-0.0159,0.0435,-0.0116,-0.0108,0.0059,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:409,0.0154,0.6478,0.7681,-0.0075,-0.0159,0.0435,-0.0036,0.0027,-0.0073,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:410,0.0506,0.6453,0.7571,-0.0075,-0.0159,0.0435,-0.0036,0.0027,-0.0073,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:412,0.0506,0.6453,0.7571,0.1232,-0.0515,0.0704,-0.0036,0.0027,-0.0073,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:427,0.0198,0.6434,0.7754,0.1232,-0.0515,0.0704,-0.0036,0.0027,-0.0073,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:440,0.0178,0.6497,0.771,0.1232,-0.0515,0.0704,-0.0036,0.0027,-0.0073,-23.8632,-26.6204,-32.7692,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:455,0.0178,0.6497,0.771,0.1232,-0.0515,0.0704,-0.0036,0.0027,-0.0073,-23.7778,-26.6082,-32.6716,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:479,0.0178,0.6497,0.771,0.1232,-0.0515,0.0704,-0.0009,0.0033,-0.0041,-23.7778,-26.6082,-32.6716,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:481,0.0178,0.6497,0.771,0.0383,-0.052,0.0747,-0.0009,0.0033,-0.0041,-23.7778,-26.6082,-32.6716,0,0,0,48.74563825,9.10610193,0,Stop
15:06:47:482,0.0486,0.6461,0.7615,0.0383,-0.052,0.0747,-0.0009,0.0033,-0.0041,-23.7778,-26.6082,-32.6716,0,0,0,48.74563825,9.10610193,0,Stop
