time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:33:54:593,0.0208,0.6889,0.7155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:33:54:594,-0.0679,0.6906,0.772,0,0,0,0,0,0,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:622,-0.0679,0.6906,0.772,0,0,0,-0.0272,-0.0225,0.0069,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:623,-0.0234,0.7145,0.682,0,0,0,-0.0272,-0.0225,0.0069,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:625,0.0386,0.6766,0.7241,0,0,0,-0.0272,-0.0225,0.0069,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:653,-0.0362,0.6908,0.751,0,0,0,-0.0272,-0.0225,0.0069,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:680,0.0362,0.6979,0.7021,0,0,0,-0.0272,-0.0225,0.0069,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:681,0.0362,0.6979,0.7021,0,0,0,-0.0112,0.0076,-0.0192,0,0,0,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:687,0.0362,0.6979,0.7021,0,0,0,-0.0112,0.0076,-0.0192,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:689,0.0733,0.6796,0.7277,0,0,0,-0.0112,0.0076,-0.0192,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:700,0.0208,0.6959,0.7385,0,0,0,-0.0112,0.0076,-0.0192,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:702,0.0208,0.6959,0.7385,0,0,0,-0.0112,0.0076,-0.0192,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:720,0.0785,0.6969,0.7094,0,0,0,-0.0112,0.0076,-0.0192,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:750,0.0785,0.6969,0.7094,0,0,0,-0.0004,0.0309,-0.0812,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:754,0.0438,0.6957,0.7238,0,0,0,-0.0004,0.0309,-0.0812,-22.1186,-20.74,-18.0316,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:755,0.0438,0.6957,0.7238,0,0,0,-0.0004,0.0309,-0.0812,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:769,-0.0024,0.7052,0.7197,0,0,0,-0.0004,0.0309,-0.0812,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:771,-0.0024,0.7052,0.7197,0.272,0.0061,-0.0312,-0.0004,0.0309,-0.0812,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:786,0.0188,0.7086,0.695,0.272,0.0061,-0.0312,-0.0004,0.0309,-0.0812,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:819,0.0188,0.7086,0.695,0.272,0.0061,-0.0312,-0.0092,0.0619,-0.0783,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
15:33:54:821,-0.0347,0.7196,0.7009,0.272,0.0061,-0.0312,-0.0092,0.0619,-0.0783,-22.204,-19.6786,-16.0186,0,0,0,48.74233008,9.09852138,0,Stop
