time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:38:07:910,-0.0042,0.6735,0.7676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:38:07:910,-0.0377,0.6886,0.7341,0,0,0,0,0,0,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:07:911,-0.0305,0.7094,0.6896,0,0,0,0,0,0,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:07:935,0.0198,0.6718,0.7517,0,0,0,0,0,0,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:07:947,-0.0474,0.6947,0.7353,0,0,0,0,0,0,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:07:948,-0.0474,0.6947,0.7353,0,0,0,0.0213,0.0154,-0.0017,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:07:966,-0.0103,0.6986,0.6984,0,0,0,0.0213,0.0154,-0.0017,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:002,-0.0103,0.6986,0.6984,0,0,0,-0.0017,-0.0222,-0.0028,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:003,-0.0029,0.6791,0.7426,0,0,0,-0.0017,-0.0222,-0.0028,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:004,-0.0574,0.7006,0.7309,0,0,0,-0.0017,-0.0222,-0.0028,0,0,0,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:005,-0.0574,0.7006,0.7309,0,0,0,-0.0017,-0.0222,-0.0028,-22.3016,-19.0198,-14.152,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:014,-0.0078,0.6898,0.7163,0,0,0,-0.0017,-0.0222,-0.0028,-22.3016,-19.0198,-14.152,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:015,-0.0078,0.6898,0.7163,0,0,0,-0.0017,-0.0222,-0.0028,-22.3016,-19.0198,-14.152,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:033,-0.0264,0.6913,0.7341,0,0,0,-0.0017,-0.0222,-0.0028,-22.3016,-19.0198,-14.152,0,0,0,48.74232813,9.09851563,0,Stop
15:38:08:069,-0.0264,0.6913,0.7341,0,0,0,-0.0017,-0.0222,-0.0028,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:072,-0.0374,0.7028,0.7224,0,0,0,-0.0017,-0.0222,-0.0028,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:074,-0.0374,0.7028,0.7224,0,0,0,-0.0053,-0.017,-0.0035,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:082,-0.0024,0.6908,0.7248,0,0,0,-0.0053,-0.017,-0.0035,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:083,-0.0024,0.6908,0.7248,0.0175,-0.0208,0.0342,-0.0053,-0.017,-0.0035,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:100,-0.0325,0.693,0.7258,0.0175,-0.0208,0.0342,-0.0053,-0.017,-0.0035,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:124,-0.0183,0.6928,0.7258,0.0175,-0.0208,0.0342,-0.0053,-0.017,-0.0035,-22.1186,-18.4098,-13.6152,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:139,-0.0183,0.6928,0.7258,0.0175,-0.0208,0.0342,-0.0053,-0.017,-0.0035,-22.143,-18.4098,-13.542,0,0,0,48.74232811,9.09851572,0,Stop
15:38:08:141,-0.0068,0.6867,0.7287,0.0175,-0.0208,0.0342,-0.0053,-0.017,-0.0035,-22.143,-18.4098,-13.542,0,0,0,48.74232811,9.09851572,0,Stop
