time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:00:39:774,-0.0066,0.548,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:00:39:774,-0.0675,0.5867,0.7617,0,0,0,0,0,0,0,0,0,0,0,0,48.7259898,9.08641642,0,Stop
12:00:39:782,-0.1489,0.5869,0.8089,0,0,0,0,0,0,0,0,0,0,0,0,48.7259898,9.08641642,0,Stop
12:00:39:814,-0.0872,0.5456,0.8883,0,0,0,0,0,0,0,0,0,0,0,0,48.7259898,9.08641642,0,Stop
12:00:39:821,-0.0872,0.5456,0.8883,0,0,0,-0.0087,-0.0137,0.0252,0,0,0,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:837,-0.0362,0.5815,0.7727,0,0,0,-0.0087,-0.0137,0.0252,0,0,0,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:839,-0.076,0.5706,0.8184,0,0,0,-0.0087,-0.0137,0.0252,0,0,0,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:879,-0.0929,0.558,0.8516,0,0,0,-0.0087,-0.0137,0.0252,0,0,0,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:882,-0.0665,0.5632,0.8197,0,0,0,-0.0087,-0.0137,0.0252,0,0,0,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:883,-0.0665,0.5632,0.8197,0,0,0,-0.0087,-0.0137,0.0252,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:888,-0.0665,0.5632,0.8197,0,0,0,-0.0057,0.002,0.0317,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:896,-0.0496,0.5669,0.8031,0,0,0,-0.0057,0.002,0.0317,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:898,-0.0496,0.5669,0.8031,0,0,0,-0.0057,0.002,0.0317,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:945,-0.0484,0.5456,0.8571,0,0,0,-0.0057,0.002,0.0317,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:948,-0.0643,0.5583,0.8307,0,0,0,-0.0057,0.002,0.0317,-6.832,0.732,-35.9168,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:950,-0.0643,0.5583,0.8307,0,0,0,-0.0057,0.002,0.0317,-6.6002,0.8906,-36.4658,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:954,-0.0643,0.5583,0.8307,0,0,0,-0.0085,-0.0083,0.0083,-6.6002,0.8906,-36.4658,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:966,-0.0567,0.5608,0.8197,0,0,0,-0.0085,-0.0083,0.0083,-6.6002,0.8906,-36.4658,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:968,-0.0567,0.5608,0.8197,0.0664,-0.0459,0.0371,-0.0085,-0.0083,0.0083,-6.6002,0.8906,-36.4658,0,0,0,48.72598983,9.08641624,0,Stop
12:00:39:992,-0.043,0.549,0.8368,0.0664,-0.0459,0.0371,-0.0085,-0.0083,0.0083,-6.6002,0.8906,-36.4658,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:012,-0.043,0.549,0.8368,0.0664,-0.0459,0.0371,-0.0085,-0.0083,0.0083,-6.5026,0.793,-36.3926,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:015,-0.0582,0.5566,0.8272,0.0664,-0.0459,0.0371,-0.0085,-0.0083,0.0083,-6.5026,0.793,-36.3926,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:024,-0.0635,0.563,0.8202,0.0664,-0.0459,0.0371,-0.0085,-0.0083,0.0083,-6.5026,0.793,-36.3926,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:027,-0.0635,0.563,0.8202,0.0664,-0.0459,0.0371,-0.0061,-0.0087,-0.0226,-6.5026,0.793,-36.3926,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:035,-0.0523,0.5554,0.8372,0.0664,-0.0459,0.0371,-0.0061,-0.0087,-0.0226,-6.5026,0.793,-36.3926,0,0,0,48.72598983,9.08641624,0,Stop
12:00:40:037,-0.0523,0.5554,0.8372,0.0664,-0.0459,0.0371,-0.0061,-0.0087,-0.0226,-6.5026,0.793,-36.3926,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:039,-0.0523,0.5554,0.8372,0.1672,-0.0829,0.0763,-0.0061,-0.0087,-0.0226,-6.5026,0.793,-36.3926,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:078,-0.0523,0.5554,0.8372,0.1672,-0.0829,0.0763,-0.0061,-0.0087,-0.0226,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:080,-0.0513,0.5613,0.8253,0.1672,-0.0829,0.0763,-0.0061,-0.0087,-0.0226,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:082,-0.0508,0.5654,0.8155,0.1672,-0.0829,0.0763,-0.0061,-0.0087,-0.0226,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:095,-0.0508,0.5654,0.8155,0.1672,-0.0829,0.0763,-0.0019,-0.0031,-0.0433,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:105,-0.0609,0.5632,0.8282,0.1672,-0.0829,0.0763,-0.0019,-0.0031,-0.0433,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:107,-0.0609,0.5632,0.8282,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.4416,0.6954,-36.3316,23.4073,-34.5685,-4.5323,48.72598983,9.08641624,0,Stop
12:00:40:108,-0.0609,0.5632,0.8282,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.4416,0.6954,-36.3316,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:145,-0.0609,0.5632,0.8282,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:150,-0.0696,0.5654,0.828,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:153,-0.0711,0.5679,0.816,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:171,-0.0814,0.5644,0.8267,0.1291,-0.045,0.0211,-0.0019,-0.0031,-0.0433,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:176,-0.0814,0.5644,0.8267,0.1291,-0.045,0.0211,-0.0004,0.0073,-0.0458,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:177,-0.0902,0.5652,0.8277,0.1291,-0.045,0.0211,-0.0004,0.0073,-0.0458,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:179,-0.0902,0.5652,0.8277,0.1165,0.0198,-0.0291,-0.0004,0.0073,-0.0458,-6.1366,0.7076,-36.0754,23.0202,-34.2288,-4.0926,48.72598983,9.08641624,0,Stop
12:00:40:180,-0.0902,0.5652,0.8277,0.1165,0.0198,-0.0291,-0.0004,0.0073,-0.0458,-6.1366,0.7076,-36.0754,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:211,-0.0902,0.5652,0.8277,0.1165,0.0198,-0.0291,-0.0004,0.0073,-0.0458,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:216,-0.0826,0.5664,0.8265,0.1165,0.0198,-0.0291,-0.0004,0.0073,-0.0458,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:233,-0.0836,0.5635,0.8272,0.1165,0.0198,-0.0291,-0.0004,0.0073,-0.0458,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:235,-0.0836,0.5635,0.8272,0.1165,0.0198,-0.0291,0.0001,0.0158,-0.0128,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:237,-0.0877,0.5625,0.8236,0.1165,0.0198,-0.0291,0.0001,0.0158,-0.0128,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:242,-0.0877,0.5625,0.8236,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1854,0.7198,-36.1242,22.8456,-34.1264,-3.9483,48.72598983,9.08641624,0,Stop
12:00:40:244,-0.0877,0.5625,0.8236,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1854,0.7198,-36.1242,22.53,-34.1617,-3.9047,48.72598983,9.08641624,0,Stop
12:00:40:279,-0.0877,0.5625,0.8236,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1976,0.7198,-36.2096,22.53,-34.1617,-3.9047,48.72598983,9.08641624,0,Stop
12:00:40:284,-0.0758,0.5625,0.8248,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1976,0.7198,-36.2096,22.53,-34.1617,-3.9047,48.72598983,9.08641624,0,Stop
12:00:40:286,-0.0711,0.5647,0.827,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1976,0.7198,-36.2096,22.53,-34.1617,-3.9047,48.72598983,9.08641624,0,Stop
12:00:40:304,-0.0801,0.5674,0.825,-0.0822,0.0368,-0.0306,0.0001,0.0158,-0.0128,-6.1976,0.7198,-36.2096,22.53,-34.1617,-3.9047,48.72598983,9.08641624,0,Stop
