time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
11:56:40:227,0.0543,0.5706,0.8226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
11:56:40:228,0.0511,0.5864,0.782,0,0,0,0,0,0,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:228,0.0927,0.5458,0.8666,0,0,0,0,0,0,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:264,0.0963,0.5649,0.8184,0,0,0,0,0,0,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:267,0.0834,0.5676,0.8219,0,0,0,0,0,0,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:268,0.0834,0.5676,0.8219,0,0,0,-0.013,0.0025,0.0541,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:290,0.0968,0.5566,0.8343,0,0,0,-0.013,0.0025,0.0541,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:328,0.0988,0.5527,0.8341,0,0,0,-0.013,0.0025,0.0541,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:329,0.1054,0.5585,0.8189,0,0,0,-0.013,0.0025,0.0541,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:330,0.1054,0.5585,0.8189,0,0,0,-0.0061,-0.0027,0.0358,0,0,0,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:331,0.1054,0.5585,0.8189,0,0,0,-0.0061,-0.0027,0.0358,-12.0902,0.5246,-33.1718,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:337,0.1134,0.5488,0.8429,0,0,0,-0.0061,-0.0027,0.0358,-12.0902,0.5246,-33.1718,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:339,0.1134,0.5488,0.8429,0,0,0,-0.0061,-0.0027,0.0358,-12.0902,0.5246,-33.1718,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:357,0.1019,0.5507,0.8394,0,0,0,-0.0061,-0.0027,0.0358,-12.0902,0.5246,-33.1718,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:392,0.1061,0.5558,0.8197,0,0,0,-0.0061,-0.0027,0.0358,-12.0902,0.5246,-33.1718,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:395,0.1061,0.5558,0.8197,0,0,0,-0.0061,-0.0027,0.0358,-12.4806,0,-33.3792,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:397,0.1061,0.5558,0.8197,0,0,0,-0.0023,-0.0045,-0.0146,-12.4806,0,-33.3792,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:412,0.1061,0.5558,0.8197,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.4806,0,-33.3792,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:415,0.1137,0.5478,0.8407,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.4806,0,-33.3792,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:422,0.1019,0.5524,0.8346,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.4806,0,-33.3792,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:463,0.1019,0.5524,0.8346,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:466,0.1029,0.5561,0.8277,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:468,0.0983,0.5558,0.8321,0.0716,-0.0354,-0.0036,-0.0023,-0.0045,-0.0146,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:470,0.0983,0.5558,0.8321,0.0716,-0.0354,-0.0036,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:475,0.0841,0.5571,0.8328,0.0716,-0.0354,-0.0036,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:477,0.0841,0.5571,0.8328,0.0695,-0.0365,0.0004,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,0,0,0,48.72603176,9.08642718,0,Stop
11:56:40:479,0.0841,0.5571,0.8328,0.0695,-0.0365,0.0004,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:528,0.0809,0.5625,0.826,0.0695,-0.0365,0.0004,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:530,0.0797,0.5613,0.8294,0.0695,-0.0365,0.0004,-0.0005,-0.0027,-0.043,-12.7612,-0.0732,-33.855,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:531,0.0797,0.5613,0.8294,0.0695,-0.0365,0.0004,-0.0005,-0.0027,-0.043,-12.8832,-0.2074,-34.1112,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:537,0.0797,0.5613,0.8294,0.0695,-0.0365,0.0004,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:545,0.0701,0.5649,0.8309,0.0695,-0.0365,0.0004,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:548,0.0701,0.5649,0.8309,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.3769,-33.7191,5.5686,48.72603176,9.08642718,0,Stop
11:56:40:550,0.0701,0.5649,0.8309,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:555,0.0753,0.5637,0.8253,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:592,0.0753,0.5644,0.8275,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:596,0.0687,0.5647,0.8302,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.8832,-0.2074,-34.1112,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:597,0.0687,0.5647,0.8302,-0.0199,0.0081,-0.0217,-0.0009,0.0012,-0.0356,-12.81,-0.2074,-33.9282,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:604,0.0687,0.5647,0.8302,-0.0199,0.0081,-0.0217,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:614,0.0687,0.5647,0.8302,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.367,-33.6443,5.6845,48.72603176,9.08642718,0,Stop
11:56:40:616,0.0687,0.5647,0.8302,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:618,0.0728,0.5652,0.8253,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:659,0.0756,0.5657,0.8258,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:661,0.067,0.5664,0.8302,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.81,-0.2074,-33.9282,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:663,0.067,0.5664,0.8302,-0.1655,0.0609,-0.0389,0,0.0097,0.0004,-12.8832,-0.2196,-33.9892,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:675,0.067,0.5664,0.8302,-0.1655,0.0609,-0.0389,0.0003,0.015,0.0356,-12.8832,-0.2196,-33.9892,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
11:56:40:687,0.0812,0.5642,0.8297,-0.1655,0.0609,-0.0389,0.0003,0.015,0.0356,-12.8832,-0.2196,-33.9892,27.5515,-33.6853,5.5781,48.72603176,9.08642718,0,Stop
