time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:04:47:952,0.0574,0.5652,0.7881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:04:47:953,-0.0215,0.6025,0.7316,0,0,0,0,0,0,0,0,0,0,0,0,48.72596823,9.08642179,0,Stop
12:04:47:989,0.0406,0.5168,0.9314,0,0,0,0,0,0,0,0,0,0,0,0,48.72596823,9.08642179,0,Stop
12:04:47:997,0.0406,0.5168,0.9314,0,0,0,-0.01,-0.0109,-0.0132,0,0,0,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:012,0.0785,0.5348,0.848,0,0,0,-0.01,-0.0109,-0.0132,0,0,0,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:013,0.0127,0.5642,0.8006,0,0,0,-0.01,-0.0109,-0.0132,0,0,0,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:055,0.0127,0.5642,0.8006,0,0,0,-0.01,-0.0109,-0.0132,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:058,0.009,0.5541,0.836,0,0,0,-0.01,-0.0109,-0.0132,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:060,0.0645,0.5287,0.8781,0,0,0,-0.01,-0.0109,-0.0132,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:062,0.0645,0.5287,0.8781,0,0,0,0.0076,0.0125,-0.0004,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:065,0.0645,0.5287,0.8781,0,0,0,0.0076,0.0125,-0.0004,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:067,0.0406,0.5654,0.8067,0,0,0,0.0076,0.0125,-0.0004,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:094,0.0306,0.5551,0.8375,0,0,0,0.0076,0.0125,-0.0004,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:119,0.0421,0.5412,0.861,0,0,0,0.0076,0.0125,-0.0004,-11.4924,-4.026,-46.0672,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:122,0.0421,0.5412,0.861,0,0,0,0.0076,0.0125,-0.0004,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:124,0.0421,0.5412,0.861,0,0,0,0.002,0.0068,-0.0023,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:133,0.0223,0.558,0.8255,0,0,0,0.002,0.0068,-0.0023,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:135,0.0223,0.558,0.8255,-0.0042,-0.0055,0.0256,0.002,0.0068,-0.0023,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:146,0.0433,0.5536,0.828,-0.0042,-0.0055,0.0256,0.002,0.0068,-0.0023,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:172,0.053,0.5444,0.8593,-0.0042,-0.0055,0.0256,0.002,0.0068,-0.0023,-10.1382,-1.9642,-43.7126,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:185,0.053,0.5444,0.8593,-0.0042,-0.0055,0.0256,0.002,0.0068,-0.0023,-10.1504,-1.9642,-43.8834,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:187,0.0301,0.5507,0.8402,-0.0042,-0.0055,0.0256,0.002,0.0068,-0.0023,-10.1504,-1.9642,-43.8834,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:192,0.0301,0.5507,0.8402,-0.0042,-0.0055,0.0256,-0.0027,-0.0049,0.0035,-10.1504,-1.9642,-43.8834,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:205,0.043,0.551,0.8226,-0.0042,-0.0055,0.0256,-0.0027,-0.0049,0.0035,-10.1504,-1.9642,-43.8834,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:207,0.043,0.551,0.8226,-0.0053,0.0049,0.0267,-0.0027,-0.0049,0.0035,-10.1504,-1.9642,-43.8834,0,0,0,48.72596823,9.08642179,0,Stop
12:04:48:208,0.043,0.551,0.8226,-0.0053,0.0049,0.0267,-0.0027,-0.0049,0.0035,-10.1504,-1.9642,-43.8834,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:253,0.043,0.551,0.8226,-0.0053,0.0049,0.0267,-0.0027,-0.0049,0.0035,-10.0894,-1.952,-43.8224,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:255,0.0443,0.5434,0.8524,-0.0053,0.0049,0.0267,-0.0027,-0.0049,0.0035,-10.0894,-1.952,-43.8224,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:257,0.036,0.5524,0.8387,-0.0053,0.0049,0.0267,-0.0027,-0.0049,0.0035,-10.0894,-1.952,-43.8224,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:263,0.036,0.5524,0.8387,-0.0053,0.0049,0.0267,-0.0031,-0.0007,0.0105,-10.0894,-1.952,-43.8224,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:272,0.0574,0.5541,0.826,-0.0053,0.0049,0.0267,-0.0031,-0.0007,0.0105,-10.0894,-1.952,-43.8224,21.5079,-33.5307,1.8494,48.72596823,9.08642179,0,Stop
12:04:48:275,0.0574,0.5541,0.826,-0.0053,0.0049,0.0267,-0.0031,-0.0007,0.0105,-10.0894,-1.952,-43.8224,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:277,0.0574,0.5541,0.826,0.0799,-0.0249,0.0419,-0.0031,-0.0007,0.0105,-10.0894,-1.952,-43.8224,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:292,0.0406,0.5507,0.8426,0.0799,-0.0249,0.0419,-0.0031,-0.0007,0.0105,-10.0894,-1.952,-43.8224,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:319,0.0406,0.5507,0.8426,0.0799,-0.0249,0.0419,-0.0031,-0.0007,0.0105,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:322,0.0215,0.5514,0.8407,0.0799,-0.0249,0.0419,-0.0031,-0.0007,0.0105,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:331,0.0215,0.5514,0.8407,0.0799,-0.0249,0.0419,-0.0023,0.0064,0.0037,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:333,0.0418,0.5517,0.8302,0.0799,-0.0249,0.0419,-0.0023,0.0064,0.0037,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:343,0.044,0.5517,0.8377,0.0799,-0.0249,0.0419,-0.0023,0.0064,0.0037,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:345,0.044,0.5517,0.8377,0.0891,-0.0067,0.0177,-0.0023,0.0064,0.0037,-10.0772,-2.0496,-43.7858,21.5734,-33.4775,1.8618,48.72596823,9.08642179,0,Stop
12:04:48:346,0.044,0.5517,0.8377,0.0891,-0.0067,0.0177,-0.0023,0.0064,0.0037,-10.0772,-2.0496,-43.7858,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:386,0.044,0.5517,0.8377,0.0891,-0.0067,0.0177,-0.0023,0.0064,0.0037,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:388,0.0386,0.5551,0.8414,0.0891,-0.0067,0.0177,-0.0023,0.0064,0.0037,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:389,0.0462,0.5595,0.8285,0.0891,-0.0067,0.0177,-0.0023,0.0064,0.0037,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:401,0.0462,0.5595,0.8285,0.0891,-0.0067,0.0177,-0.0021,0.0045,-0.008,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:412,0.0316,0.5558,0.8365,0.0891,-0.0067,0.0177,-0.0021,0.0045,-0.008,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:413,0.0316,0.5558,0.8365,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.0894,-2.0496,-43.737,21.3814,-33.3813,2.0222,48.72596823,9.08642179,0,Stop
12:04:48:414,0.0316,0.5558,0.8365,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.0894,-2.0496,-43.737,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:423,0.0328,0.5532,0.839,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.0894,-2.0496,-43.737,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:453,0.0328,0.5532,0.839,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.1138,-2.0862,-43.7492,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:457,0.0389,0.5522,0.8316,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.1138,-2.0862,-43.7492,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:470,0.0277,0.5558,0.8377,-0.0137,0.0048,0.0082,-0.0021,0.0045,-0.008,-10.1138,-2.0862,-43.7492,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:472,0.0277,0.5558,0.8377,-0.0137,0.0048,0.0082,-0.0023,-0.0001,-0.0113,-10.1138,-2.0862,-43.7492,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:482,0.0328,0.5507,0.8419,-0.0137,0.0048,0.0082,-0.0023,-0.0001,-0.0113,-10.1138,-2.0862,-43.7492,21.1154,-33.3533,2.1351,48.72596823,9.08642179,0,Stop
12:04:48:483,0.0328,0.5507,0.8419,-0.0137,0.0048,0.0082,-0.0023,-0.0001,-0.0113,-10.1138,-2.0862,-43.7492,21.2582,-33.3504,2.0881,48.72596823,9.08642179,0,Stop
