time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:06:34:366,-0.1417,0.5554,1.0511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:06:34:367,-0.1857,0.6749,0.7603,0,0,0,0,0,0,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:367,-0.1061,0.7458,0.5202,0,0,0,0,0,0,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:374,-0.0049,0.6439,0.7573,0,0,0,0,0,0,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:400,-0.0049,0.6439,0.7573,0,0,0,-0.0422,-0.1118,0.1899,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:401,0.0538,0.5583,0.9742,0,0,0,-0.0422,-0.1118,0.1899,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:425,0.0228,0.64,0.7656,0,0,0,-0.0422,-0.1118,0.1899,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:426,-0.0601,0.7147,0.5923,0,0,0,-0.0422,-0.1118,0.1899,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:453,-0.0601,0.7147,0.5923,0,0,0,0.0345,0.086,-0.0804,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:454,-0.1141,0.6597,0.7674,0,0,0,0.0345,0.086,-0.0804,0,0,0,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:460,-0.1141,0.6597,0.7674,0,0,0,0.0345,0.086,-0.0804,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:474,-0.0973,0.6025,0.9049,0,0,0,0.0345,0.086,-0.0804,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:478,-0.0973,0.6025,0.9049,0,0,0,0.0345,0.086,-0.0804,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:486,-0.0212,0.6378,0.7727,0,0,0,0.0345,0.086,-0.0804,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:525,0.0447,0.6725,0.6525,0,0,0,0.0345,0.086,-0.0804,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:530,0.0447,0.6725,0.6525,0,0,0,0.0443,-0.032,0.171,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:534,0.0484,0.6412,0.7503,0,0,0,0.0443,-0.032,0.171,-6.1244,-59.6458,38.1128,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:536,0.0484,0.6412,0.7503,0,0,0,0.0443,-0.032,0.171,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:545,-0.0156,0.6135,0.8541,0,0,0,0.0443,-0.032,0.171,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:549,-0.0156,0.6135,0.8541,-0.4648,0.1106,-0.1151,0.0443,-0.032,0.171,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:587,-0.0792,0.6527,0.7681,-0.4648,0.1106,-0.1151,0.0443,-0.032,0.171,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:591,-0.0983,0.6923,0.6796,-0.4648,0.1106,-0.1151,0.0443,-0.032,0.171,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:594,-0.0983,0.6923,0.6796,-0.4648,0.1106,-0.1151,0.0292,0.0718,-0.0433,-6.5026,-59.597,38.1372,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:598,-0.0983,0.6923,0.6796,-0.4648,0.1106,-0.1151,0.0292,0.0718,-0.0433,-6.6246,-59.4018,38.2592,0,0,0,48.77838887,9.17159065,0,Stop
14:06:34:614,-0.0611,0.6588,0.7634,-0.4648,0.1106,-0.1151,0.0292,0.0718,-0.0433,-6.6246,-59.4018,38.2592,0,0,0,48.77838887,9.17159065,0,Stop
