time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:59:32:989,0.2745,0.859,0.4564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:59:32:990,0.2874,0.8705,0.4119,0,0,0,0,0,0,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:011,0.2591,0.8639,0.4381,0,0,0,0,0,0,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:027,0.2951,0.8648,0.421,0,0,0,0,0,0,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:030,0.2951,0.8648,0.421,0,0,0,0.0039,0.0063,0.0043,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:049,0.2642,0.8668,0.4342,0,0,0,0.0039,0.0063,0.0043,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:084,0.2904,0.859,0.443,0,0,0,0.0039,0.0063,0.0043,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:088,0.2833,0.8639,0.4288,0,0,0,0.0039,0.0063,0.0043,0,0,0,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:090,0.2833,0.8639,0.4288,0,0,0,0.0039,0.0063,0.0043,2.1472,-42.7122,1.2932,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:092,0.2833,0.8639,0.4288,0,0,0,-0.0017,-0.0051,-0.0035,2.1472,-42.7122,1.2932,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:101,0.2833,0.8639,0.4288,0,0,0,-0.0017,-0.0051,-0.0035,2.1472,-42.7122,1.2932,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:102,0.2608,0.8641,0.4503,0,0,0,-0.0017,-0.0051,-0.0035,2.1472,-42.7122,1.2932,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:115,0.2672,0.8707,0.4339,0,0,0,-0.0017,-0.0051,-0.0035,2.1472,-42.7122,1.2932,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:153,0.2672,0.8707,0.4339,0,0,0,-0.0017,-0.0051,-0.0035,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:157,0.2447,0.8697,0.4308,0,0,0,-0.0017,-0.0051,-0.0035,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:160,0.2669,0.8768,0.4247,0,0,0,-0.0017,-0.0051,-0.0035,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:162,0.2669,0.8768,0.4247,0,0,0,0.0049,-0.0048,0.0142,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:178,0.2672,0.8836,0.4195,0,0,0,0.0049,-0.0048,0.0142,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:181,0.2672,0.8836,0.4195,0.0011,-0.0027,0.0416,0.0049,-0.0048,0.0142,2.0618,-42.4926,1.6836,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:220,0.2672,0.8836,0.4195,0.0011,-0.0027,0.0416,0.0049,-0.0048,0.0142,2.0984,-42.1876,1.891,0,0,0,48.77757543,9.17015091,0,Stop
12:59:33:221,0.2686,0.8763,0.4195,0.0011,-0.0027,0.0416,0.0049,-0.0048,0.0142,2.0984,-42.1876,1.891,0,0,0,48.77756778,9.17015087,0,Stop
12:59:33:222,0.2662,0.8648,0.4254,0.0011,-0.0027,0.0416,0.0049,-0.0048,0.0142,2.0984,-42.1876,1.891,0,0,0,48.77756778,9.17015087,0,Stop
