time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:42:53:479,0.0584,0.7421,0.7722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:42:53:493,0.1479,0.8072,0.5239,0,0,0,0,0,0,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:524,0.2024,0.7903,0.5185,0,0,0,0,0,0,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:526,0.2024,0.7903,0.5185,0,0,0,0.0052,-0.0529,0.066,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:527,0.1723,0.729,0.7358,0,0,0,0.0052,-0.0529,0.066,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:543,0.1156,0.7561,0.6931,0,0,0,0.0052,-0.0529,0.066,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:584,0.1156,0.7561,0.6931,0,0,0,0.0184,-0.0153,-0.0364,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:587,0.0931,0.8113,0.5315,0,0,0,0.0184,-0.0153,-0.0364,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:589,0.1124,0.7871,0.5975,0,0,0,0.0184,-0.0153,-0.0364,0,0,0,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:590,0.1124,0.7871,0.5975,0,0,0,0.0184,-0.0153,-0.0364,-15.1524,-16.4334,-42.2852,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:596,0.1494,0.7468,0.7023,0,0,0,0.0184,-0.0153,-0.0364,-15.1524,-16.4334,-42.2852,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:599,0.1494,0.7468,0.7023,0,0,0,0.0184,-0.0153,-0.0364,-15.1524,-16.4334,-42.2852,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:651,0.1494,0.7468,0.7023,0,0,0,0.0184,-0.0153,-0.0364,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:653,0.176,0.7612,0.6395,0,0,0,0.0184,-0.0153,-0.0364,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:655,0.1626,0.7881,0.5735,0,0,0,0.0184,-0.0153,-0.0364,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:656,0.1626,0.7881,0.5735,0,0,0,0.0107,-0.0234,-0.0585,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:664,0.1141,0.7805,0.6163,0,0,0,0.0107,-0.0234,-0.0585,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:666,0.1141,0.7805,0.6163,-0.2332,0.047,0.0047,0.0107,-0.0234,-0.0585,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:676,0.0883,0.7656,0.6676,-0.2332,0.047,0.0047,0.0107,-0.0234,-0.0585,-15.3964,-16.3846,-42.1998,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:718,0.0883,0.7656,0.6676,-0.2332,0.047,0.0047,0.0107,-0.0234,-0.0585,-15.3232,-16.4334,-42.1876,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:720,0.1124,0.7763,0.64,-0.2332,0.047,0.0047,0.0107,-0.0234,-0.0585,-15.3232,-16.4334,-42.1876,0,0,0,48.77586309,9.17085446,0,Stop
12:42:53:722,0.1503,0.7864,0.5872,-0.2332,0.047,0.0047,0.0107,-0.0234,-0.0585,-15.3232,-16.4334,-42.1876,0,0,0,48.77586309,9.17085446,0,Stop
