time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:09:36:413,0.1154,0.6199,0.8864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:09:36:414,-0.0322,0.6529,0.8859,0,0,0,0,0,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:448,-0.0789,0.7695,0.5867,0,0,0,0,0,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:453,0,0.7487,0.5923,0,0,0,0,0,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:455,0,0.7487,0.5923,0,0,0,0.0607,0.0349,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:474,0.1306,0.6363,0.8514,0,0,0,0.0607,0.0349,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:485,0.1851,0.639,0.8165,0,0,0,0.0607,0.0349,0,0,0,0,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:512,0.1851,0.639,0.8165,0,0,0,0.0607,0.0349,0,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:514,0.1367,0.725,0.6109,0,0,0,0.0607,0.0349,0,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:520,0.1367,0.725,0.6109,0,0,0,0.043,0.0495,-0.0316,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:529,0.0372,0.726,0.6449,0,0,0,0.043,0.0495,-0.0316,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:531,0.0372,0.726,0.6449,0,0,0,0.043,0.0495,-0.0316,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:539,-0.0154,0.673,0.8092,0,0,0,0.043,0.0495,-0.0316,23.7412,-17.629,-19.8372,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:579,-0.0154,0.673,0.8092,0,0,0,0.043,0.0495,-0.0316,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:581,0.0154,0.6762,0.7962,0,0,0,0.043,0.0495,-0.0316,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:582,0.0956,0.7142,0.6635,0,0,0,0.043,0.0495,-0.0316,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:587,0.0956,0.7142,0.6635,0,0,0,0.0148,-0.0467,0.0676,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:597,0.1428,0.7072,0.6493,0,0,0,0.0148,-0.0467,0.0676,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:600,0.1428,0.7072,0.6493,0.4268,-0.0992,0.0428,0.0148,-0.0467,0.0676,25.1442,-17.141,-18.7148,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:645,0.1428,0.7072,0.6493,0.4268,-0.0992,0.0428,0.0148,-0.0467,0.0676,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:648,0.1268,0.6612,0.7681,0.4268,-0.0992,0.0428,0.0148,-0.0467,0.0676,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:650,0.054,0.6715,0.7805,0.4268,-0.0992,0.0428,0.0148,-0.0467,0.0676,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:657,0.054,0.6715,0.7805,0.4268,-0.0992,0.0428,-0.0134,0.0511,-0.1095,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:667,-0.0085,0.7206,0.6791,0.4268,-0.0992,0.0428,-0.0134,0.0511,-0.1095,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:669,-0.0085,0.7206,0.6791,0.1394,-0.0722,0.1417,-0.0134,0.0511,-0.1095,25.0344,-17.2508,-18.788,0,0,0,48.77690708,9.17321771,0,Stop
14:09:36:671,-0.0085,0.7206,0.6791,0.1394,-0.0722,0.1417,-0.0134,0.0511,-0.1095,25.0344,-17.2508,-18.788,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:686,-0.0024,0.7172,0.6847,0.1394,-0.0722,0.1417,-0.0134,0.0511,-0.1095,25.0344,-17.2508,-18.788,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:712,-0.0024,0.7172,0.6847,0.1394,-0.0722,0.1417,-0.0134,0.0511,-0.1095,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:714,0.0562,0.6654,0.7754,0.1394,-0.0722,0.1417,-0.0134,0.0511,-0.1095,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:726,0.0562,0.6654,0.7754,0.1394,-0.0722,0.1417,-0.0099,-0.039,0.0766,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:728,0.1024,0.6701,0.7544,0.1394,-0.0722,0.1417,-0.0099,-0.039,0.0766,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:738,0.0941,0.7125,0.6815,0.1394,-0.0722,0.1417,-0.0099,-0.039,0.0766,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:741,0.0941,0.7125,0.6815,-0.0965,-0.077,0.1772,-0.0099,-0.039,0.0766,24.7904,-17.3484,-19.2394,273.5441,-45.1966,3.2981,48.77690708,9.17321771,0,Stop
14:09:36:744,0.0941,0.7125,0.6815,-0.0965,-0.077,0.1772,-0.0099,-0.039,0.0766,24.7904,-17.3484,-19.2394,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:778,0.0941,0.7125,0.6815,-0.0965,-0.077,0.1772,-0.0099,-0.039,0.0766,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:780,0.053,0.7037,0.7102,-0.0965,-0.077,0.1772,-0.0099,-0.039,0.0766,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:781,0.0223,0.672,0.7788,-0.0965,-0.077,0.1772,-0.0099,-0.039,0.0766,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:795,0.0223,0.672,0.7788,-0.0965,-0.077,0.1772,-0.0035,0.0582,0.0021,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:806,0.0235,0.6893,0.7399,-0.0965,-0.077,0.1772,-0.0035,0.0582,0.0021,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:807,0.0235,0.6893,0.7399,0.1353,-0.1009,0.1552,-0.0035,0.0582,0.0021,24.827,-17.3728,-19.2638,273.05,-44.7727,3.1961,48.77690708,9.17321771,0,Stop
14:09:36:809,0.0235,0.6893,0.7399,0.1353,-0.1009,0.1552,-0.0035,0.0582,0.0021,24.827,-17.3728,-19.2638,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:845,0.0235,0.6893,0.7399,0.1353,-0.1009,0.1552,-0.0035,0.0582,0.0021,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:847,0.0692,0.7125,0.6764,0.1353,-0.1009,0.1552,-0.0035,0.0582,0.0021,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:849,0.1054,0.6867,0.6948,0.1353,-0.1009,0.1552,-0.0035,0.0582,0.0021,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:865,0.1054,0.6867,0.6948,0.1353,-0.1009,0.1552,0.014,0.0461,0.1326,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:867,0.1051,0.6675,0.7471,0.1353,-0.1009,0.1552,0.014,0.0461,0.1326,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:876,0.0763,0.6879,0.7248,0.1353,-0.1009,0.1552,0.014,0.0461,0.1326,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:878,0.0763,0.6879,0.7248,-0.2119,-0.0357,0.1466,0.014,0.0461,0.1326,24.9734,-17.446,-19.0564,272.4954,-44.4184,3.2798,48.77690708,9.17321771,0,Stop
14:09:36:879,0.0763,0.6879,0.7248,-0.2119,-0.0357,0.1466,0.014,0.0461,0.1326,24.9734,-17.446,-19.0564,272.0721,-44.1556,3.4133,48.77690708,9.17321771,0,Stop
14:09:36:912,0.0763,0.6879,0.7248,-0.2119,-0.0357,0.1466,0.014,0.0461,0.1326,24.949,-17.446,-19.0442,272.0721,-44.1556,3.4133,48.77690708,9.17321771,0,Stop
14:09:36:914,0.0587,0.6908,0.6979,-0.2119,-0.0357,0.1466,0.014,0.0461,0.1326,24.949,-17.446,-19.0442,272.0721,-44.1556,3.4133,48.77690708,9.17321771,0,Stop
14:09:36:934,0.0792,0.6639,0.7464,-0.2119,-0.0357,0.1466,0.014,0.0461,0.1326,24.949,-17.446,-19.0442,272.0721,-44.1556,3.4133,48.77690708,9.17321771,0,Stop
14:09:36:936,0.0792,0.6639,0.7464,-0.2119,-0.0357,0.1466,0.0007,0.004,0.0405,24.949,-17.446,-19.0442,272.0721,-44.1556,3.4133,48.77690708,9.17321771,0,Stop
