time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:01:12:242,-0.0882,0.8431,0.5432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:01:12:254,-0.0633,0.8321,0.5493,0,0,0,0,0,0,0,0,0,0,0,0,48.74325959,9.09586901,0,Stop
15:01:12:279,-0.0423,0.8306,0.5442,0,0,0,0,0,0,0,0,0,0,0,0,48.74325959,9.09586901,0,Stop
15:01:12:282,-0.0423,0.8306,0.5442,0,0,0,0.004,0.0011,-0.0065,0,0,0,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:300,-0.0809,0.8392,0.5503,0,0,0,0.004,0.0011,-0.0065,0,0,0,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:314,-0.0692,0.8353,0.5486,0,0,0,0.004,0.0011,-0.0065,0,0,0,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:343,-0.0692,0.8353,0.5486,0,0,0,0.004,0.0011,-0.0065,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:344,-0.0584,0.8331,0.5454,0,0,0,0.004,0.0011,-0.0065,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:346,-0.0584,0.8331,0.5454,0,0,0,0.0012,-0.01,-0.006,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:364,-0.0687,0.8404,0.5444,0,0,0,0.0012,-0.01,-0.006,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:365,-0.0653,0.8358,0.5513,0,0,0,0.0012,-0.01,-0.006,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:366,-0.0653,0.8358,0.5513,0,0,0,0.0012,-0.01,-0.006,14.8108,-39.3328,-6.8564,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:408,-0.0653,0.8358,0.5513,0,0,0,0.0012,-0.01,-0.006,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:410,-0.0574,0.8318,0.5469,0,0,0,0.0012,-0.01,-0.006,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:411,-0.0628,0.8372,0.5471,0,0,0,0.0012,-0.01,-0.006,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:413,-0.0628,0.8372,0.5471,0,0,0,-0.0027,-0.004,0.0091,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:434,-0.0584,0.8355,0.5503,0,0,0,-0.0027,-0.004,0.0091,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:436,-0.0584,0.8355,0.5503,-0.0068,0.007,-0.0025,-0.0027,-0.004,0.0091,14.3838,-39.4548,-7.4664,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:476,-0.0584,0.8355,0.5503,-0.0068,0.007,-0.0025,-0.0027,-0.004,0.0091,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:478,-0.0501,0.8358,0.5461,-0.0068,0.007,-0.0025,-0.0027,-0.004,0.0091,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:480,-0.0618,0.8412,0.5447,-0.0068,0.007,-0.0025,-0.0027,-0.004,0.0091,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:483,-0.0618,0.8412,0.5447,-0.0068,0.007,-0.0025,-0.0011,-0.0079,-0.0032,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:501,-0.0623,0.8397,0.5398,-0.0068,0.007,-0.0025,-0.0011,-0.0079,-0.0032,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:503,-0.0545,0.8375,0.5413,-0.0068,0.007,-0.0025,-0.0011,-0.0079,-0.0032,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:505,-0.0545,0.8375,0.5413,0.0402,-0.0027,-0.0001,-0.0011,-0.0079,-0.0032,14.1154,-39.467,-7.686,0,0,0,48.74325956,9.0958695,0,Stop
15:01:12:506,-0.0545,0.8375,0.5413,0.0402,-0.0027,-0.0001,-0.0011,-0.0079,-0.0032,14.1154,-39.467,-7.686,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:544,-0.0545,0.8375,0.5413,0.0402,-0.0027,-0.0001,-0.0011,-0.0079,-0.0032,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:548,-0.0535,0.8402,0.5491,0.0402,-0.0027,-0.0001,-0.0011,-0.0079,-0.0032,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:555,-0.0535,0.8402,0.5491,0.0402,-0.0027,-0.0001,-0.0019,0.0016,0.0009,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:556,-0.0506,0.8333,0.542,0.0402,-0.0027,-0.0001,-0.0019,0.0016,0.0009,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:567,-0.067,0.8291,0.5508,0.0402,-0.0027,-0.0001,-0.0019,0.0016,0.0009,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:573,-0.067,0.8291,0.5508,0.0267,0.0296,-0.036,-0.0019,0.0016,0.0009,13.9568,-39.467,-7.7714,218.1105,-56.7446,-3.6529,48.74325956,9.0958695,0,Stop
15:01:12:575,-0.067,0.8291,0.5508,0.0267,0.0296,-0.036,-0.0019,0.0016,0.0009,13.9568,-39.467,-7.7714,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:610,-0.067,0.8291,0.5508,0.0267,0.0296,-0.036,-0.0019,0.0016,0.0009,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:612,-0.0643,0.8336,0.5471,0.0267,0.0296,-0.036,-0.0019,0.0016,0.0009,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:617,-0.0621,0.8353,0.5483,0.0267,0.0296,-0.036,-0.0019,0.0016,0.0009,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:624,-0.0621,0.8353,0.5483,0.0267,0.0296,-0.036,0.0001,-0.0052,-0.0089,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:634,-0.0587,0.8372,0.5527,0.0267,0.0296,-0.036,0.0001,-0.0052,-0.0089,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:642,-0.0577,0.838,0.5437,0.0267,0.0296,-0.036,0.0001,-0.0052,-0.0089,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
15:01:12:643,-0.0577,0.838,0.5437,0.0302,-0.0171,0.0052,0.0001,-0.0052,-0.0089,13.9446,-39.5402,-7.7226,218.2624,-56.7423,-3.5483,48.74325956,9.0958695,0,Stop
