time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:03:54:057,0.0491,0.66,0.7207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:03:54:058,0.0181,0.648,0.7786,0,0,0,0,0,0,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:086,0.0247,0.6392,0.7862,0,0,0,0,0,0,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:093,0.0247,0.6392,0.7862,0,0,0,-0.0004,-0.0028,0.0027,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:095,0.0428,0.6536,0.7431,0,0,0,-0.0004,-0.0028,0.0027,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:116,0.0259,0.6414,0.7752,0,0,0,-0.0004,-0.0028,0.0027,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:131,0.0198,0.6417,0.7852,0,0,0,-0.0004,-0.0028,0.0027,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:154,0.0462,0.647,0.7495,0,0,0,-0.0004,-0.0028,0.0027,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:156,0.0462,0.647,0.7495,0,0,0,-0.0071,-0.01,0.0005,0,0,0,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:157,0.0462,0.647,0.7495,0,0,0,-0.0071,-0.01,0.0005,-26.1934,-27.3524,-39.3694,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:163,0.0342,0.6397,0.7742,0,0,0,-0.0071,-0.01,0.0005,-26.1934,-27.3524,-39.3694,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:164,0.0342,0.6397,0.7742,0,0,0,-0.0071,-0.01,0.0005,-26.1934,-27.3524,-39.3694,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:181,0.0144,0.6439,0.7757,0,0,0,-0.0071,-0.01,0.0005,-26.1934,-27.3524,-39.3694,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:217,0.0357,0.6446,0.7586,0,0,0,-0.0071,-0.01,0.0005,-26.1934,-27.3524,-39.3694,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:220,0.0357,0.6446,0.7586,0,0,0,-0.0071,-0.01,0.0005,-26.0348,-27.267,-38.8326,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:222,0.0357,0.6446,0.7586,0,0,0,-0.0021,0.0017,-0.0007,-26.0348,-27.267,-38.8326,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:228,0.0281,0.6412,0.7722,0,0,0,-0.0021,0.0017,-0.0007,-26.0348,-27.267,-38.8326,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:230,0.0281,0.6412,0.7722,0.0123,-0.0232,0.0183,-0.0021,0.0017,-0.0007,-26.0348,-27.267,-38.8326,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:249,0.0156,0.6463,0.7754,0.0123,-0.0232,0.0183,-0.0021,0.0017,-0.0007,-26.0348,-27.267,-38.8326,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:283,0.0156,0.6463,0.7754,0.0123,-0.0232,0.0183,-0.0021,0.0017,-0.0007,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:287,0.0342,0.6458,0.759,0.0123,-0.0232,0.0183,-0.0021,0.0017,-0.0007,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:289,0.0252,0.6456,0.7703,0.0123,-0.0232,0.0183,-0.0021,0.0017,-0.0007,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:291,0.0252,0.6456,0.7703,0.0123,-0.0232,0.0183,0.0021,-0.0033,-0.0047,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:298,0.0195,0.6466,0.7664,0.0123,-0.0232,0.0183,0.0021,-0.0033,-0.0047,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:301,0.0195,0.6466,0.7664,-0.04,-0.0066,0.0019,0.0021,-0.0033,-0.0047,-26.0958,-27.2548,-38.918,0,0,0,48.74561484,9.106091,0,Stop
15:03:54:302,0.0195,0.6466,0.7664,-0.04,-0.0066,0.0019,0.0021,-0.0033,-0.0047,-26.0958,-27.2548,-38.918,80.5394,-39.9193,1.7216,48.74561484,9.106091,0,Stop
15:03:54:327,0.0296,0.6468,0.7612,-0.04,-0.0066,0.0019,0.0021,-0.0033,-0.0047,-26.0958,-27.2548,-38.918,80.5394,-39.9193,1.7216,48.74561484,9.106091,0,Stop
15:03:54:350,0.0296,0.6468,0.7612,-0.04,-0.0066,0.0019,0.0021,-0.0033,-0.0047,-26.1568,-27.2426,-38.8204,80.5394,-39.9193,1.7216,48.74561484,9.106091,0,Stop
15:03:54:351,0.0171,0.6473,0.7686,-0.04,-0.0066,0.0019,0.0021,-0.0033,-0.0047,-26.1568,-27.2426,-38.8204,80.5394,-39.9193,1.7216,48.74561484,9.106091,0,Stop
