time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:40:23:308,-0.0112,0.757,0.6002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:40:23:308,0.0682,0.7133,0.6718,0,0,0,0,0,0,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:321,0.0513,0.65,0.8077,0,0,0,0,0,0,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:349,-0.0024,0.7113,0.7155,0,0,0,0,0,0,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:352,-0.0024,0.7113,0.7155,0,0,0,-0.0192,-0.017,0.0093,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:368,0.0756,0.7062,0.6639,0,0,0,-0.0192,-0.017,0.0093,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:370,0.043,0.6612,0.7949,0,0,0,-0.0192,-0.017,0.0093,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:405,0.0037,0.705,0.7185,0,0,0,-0.0192,-0.017,0.0093,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:407,0.0037,0.705,0.7185,0,0,0,-0.026,-0.0201,0.0037,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:409,0.075,0.6923,0.6977,0,0,0,-0.026,-0.0201,0.0037,0,0,0,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:411,0.075,0.6923,0.6977,0,0,0,-0.026,-0.0201,0.0037,-25.1442,-17.9584,-14.335,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:415,0.075,0.6923,0.6977,0,0,0,-0.026,-0.0201,0.0037,-25.1442,-17.9584,-14.335,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:427,0.0257,0.6698,0.7713,0,0,0,-0.026,-0.0201,0.0037,-25.1442,-17.9584,-14.335,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:472,0.0257,0.6698,0.7713,0,0,0,-0.026,-0.0201,0.0037,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:474,0.0134,0.6945,0.7229,0,0,0,-0.026,-0.0201,0.0037,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:476,0.0802,0.6869,0.7106,0,0,0,-0.026,-0.0201,0.0037,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:477,0.0802,0.6869,0.7106,0,0,0,-0.0095,-0.0025,-0.0057,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:484,0.0411,0.6842,0.7566,0,0,0,-0.0095,-0.0025,-0.0057,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:486,0.0411,0.6842,0.7566,-0.0227,-0.0304,0.0878,-0.0095,-0.0025,-0.0057,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:527,0.0479,0.6984,0.7214,-0.0227,-0.0304,0.0878,-0.0095,-0.0025,-0.0057,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:527,0.0645,0.6864,0.7182,-0.0227,-0.0304,0.0878,-0.0095,-0.0025,-0.0057,-24.6928,-18.0682,-14.0178,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:539,0.0645,0.6864,0.7182,-0.0227,-0.0304,0.0878,-0.0095,-0.0025,-0.0057,-23.9974,-17.9584,-13.664,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:544,0.0645,0.6864,0.7182,-0.0227,-0.0304,0.0878,0.004,-0.0033,-0.0196,-23.9974,-17.9584,-13.664,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:553,0.022,0.6864,0.7407,-0.0227,-0.0304,0.0878,0.004,-0.0033,-0.0196,-23.9974,-17.9584,-13.664,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:554,0.022,0.6864,0.7407,-0.033,-0.0099,0.0388,0.004,-0.0033,-0.0196,-23.9974,-17.9584,-13.664,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:567,0.0543,0.691,0.7229,-0.033,-0.0099,0.0388,0.004,-0.0033,-0.0196,-23.9974,-17.9584,-13.664,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:605,0.0543,0.691,0.7229,-0.033,-0.0099,0.0388,0.004,-0.0033,-0.0196,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:606,0.0467,0.6852,0.7346,-0.033,-0.0099,0.0388,0.004,-0.0033,-0.0196,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:606,0.0289,0.6871,0.7382,-0.033,-0.0099,0.0388,0.004,-0.0033,-0.0196,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:617,0.0289,0.6871,0.7382,-0.033,-0.0099,0.0388,0.0033,-0.0039,-0.0037,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:624,0.0484,0.6903,0.7204,-0.033,-0.0099,0.0388,0.0033,-0.0039,-0.0037,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:626,0.0484,0.6903,0.7204,0.0148,0.0261,-0.048,0.0033,-0.0039,-0.0037,-23.2898,-17.873,-13.4688,0,0,0,48.74232887,9.09857061,0,Stop
15:40:23:627,0.0484,0.6903,0.7204,0.0148,0.0261,-0.048,0.0033,-0.0039,-0.0037,-23.2898,-17.873,-13.4688,98.057,-43.137,2.4135,48.74232887,9.09857061,0,Stop
15:40:23:672,0.0484,0.6903,0.7204,0.0148,0.0261,-0.048,0.0033,-0.0039,-0.0037,-23.6314,-17.8852,-13.664,98.057,-43.137,2.4135,48.74232887,9.09857061,0,Stop
