time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:06:38:074,0.108,0.5784,0.827,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:06:38:074,0.0335,0.6138,0.7727,0,0,0,0,0,0,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:086,0.0883,0.5959,0.793,0,0,0,0,0,0,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:115,0.1015,0.5627,0.8543,0,0,0,0,0,0,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:117,0.1015,0.5627,0.8543,0,0,0,0.0092,0.0104,0.0048,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:133,0.0552,0.5999,0.78,0,0,0,0.0092,0.0104,0.0048,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:134,0.0795,0.5872,0.8104,0,0,0,0.0092,0.0104,0.0048,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:172,0.0831,0.5815,0.8258,0,0,0,0.0092,0.0104,0.0048,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:173,0.0831,0.5815,0.8258,0,0,0,0.002,-0.0044,0.0003,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:175,0.0689,0.595,0.7986,0,0,0,0.002,-0.0044,0.0003,0,0,0,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:176,0.0689,0.595,0.7986,0,0,0,0.002,-0.0044,0.0003,8.5644,-38.6862,-19.886,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:183,0.0689,0.595,0.7986,0,0,0,0.002,-0.0044,0.0003,8.5644,-38.6862,-19.886,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:191,0.0939,0.5894,0.804,0,0,0,0.002,-0.0044,0.0003,8.5644,-38.6862,-19.886,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:240,0.0939,0.5894,0.804,0,0,0,0.002,-0.0044,0.0003,9.2232,-38.1982,-20.008,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:242,0.0633,0.5835,0.8238,0,0,0,0.002,-0.0044,0.0003,9.2232,-38.1982,-20.008,0,0,0,48.72779442,9.08777967,0,Stop
12:06:38:244,0.0545,0.5928,0.8043,0,0,0,0.002,-0.0044,0.0003,9.2232,-38.1982,-20.008,0,0,0,48.72779442,9.08777967,0,Stop
