time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:28:18:556,-0.1857,0.6492,0.7346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:28:18:556,-0.1293,0.661,0.6722,0,0,0,0,0,0,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:570,-0.1748,0.6241,0.8001,0,0,0,0,0,0,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:594,-0.1914,0.6422,0.7742,0,0,0,0,0,0,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:596,-0.1914,0.6422,0.7742,0,0,0,-0.0019,-0.0186,0.0326,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:604,-0.0946,0.6529,0.6979,0,0,0,-0.0019,-0.0186,0.0326,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:617,-0.1395,0.6321,0.7717,0,0,0,-0.0019,-0.0186,0.0326,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:653,-0.1814,0.6375,0.7713,0,0,0,-0.0019,-0.0186,0.0326,0,0,0,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:655,-0.1814,0.6375,0.7713,0,0,0,-0.0019,-0.0186,0.0326,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:656,-0.1814,0.6375,0.7713,0,0,0,-0.0101,-0.0221,-0.0057,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:665,-0.0973,0.6299,0.7348,0,0,0,-0.0101,-0.0221,-0.0057,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:667,-0.0973,0.6299,0.7348,0,0,0,-0.0101,-0.0221,-0.0057,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:681,-0.1386,0.6307,0.7573,0,0,0,-0.0101,-0.0221,-0.0057,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:704,-0.176,0.6324,0.77,0,0,0,-0.0101,-0.0221,-0.0057,28.2674,-26.1202,-26.535,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:720,-0.176,0.6324,0.77,0,0,0,-0.0101,-0.0221,-0.0057,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:725,-0.1283,0.6307,0.7434,0,0,0,-0.0101,-0.0221,-0.0057,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:728,-0.1283,0.6307,0.7434,0,0,0,-0.0031,-0.0007,-0.0342,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:735,-0.1684,0.6292,0.7586,0,0,0,-0.0031,-0.0007,-0.0342,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:737,-0.1684,0.6292,0.7586,0.0731,-0.0427,0.0367,-0.0031,-0.0007,-0.0342,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:780,-0.1995,0.6324,0.7656,0.0731,-0.0427,0.0367,-0.0031,-0.0007,-0.0342,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:782,-0.1762,0.6451,0.7346,0.0731,-0.0427,0.0367,-0.0031,-0.0007,-0.0342,28.2552,-25.8884,-26.6814,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:786,-0.1762,0.6451,0.7346,0.0731,-0.0427,0.0367,-0.0031,-0.0007,-0.0342,28.2186,-25.7298,-26.8522,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:793,-0.1762,0.6451,0.7346,0.0731,-0.0427,0.0367,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:802,-0.1983,0.6368,0.7556,0.0731,-0.0427,0.0367,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:804,-0.1983,0.6368,0.7556,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,0,0,0,48.7447503,9.10238358,0,Stop
14:28:18:806,-0.1983,0.6368,0.7556,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
14:28:18:815,-0.2127,0.6324,0.7691,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
14:28:18:853,-0.1887,0.6419,0.7351,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
14:28:18:855,-0.1914,0.6321,0.7527,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.2186,-25.7298,-26.8522,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
14:28:18:856,-0.1914,0.6321,0.7527,-0.0961,-0.035,0.0319,-0.0045,0.0004,-0.02,28.1698,-25.7542,-27.0108,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
14:28:18:862,-0.1914,0.6321,0.7527,-0.0961,-0.035,0.0319,-0.0032,-0.0134,0.0067,28.1698,-25.7542,-27.0108,262.9258,-40.1926,-8.2587,48.7447503,9.10238358,0,Stop
