time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
14:57:31:414,-0.0151,0.7954,0.6412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
14:57:31:421,0.0479,0.8037,0.5471,0,0,0,0,0,0,0,0,0,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:450,0.0411,0.7658,0.6591,0,0,0,0,0,0,0,0,0,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:456,-0.0315,0.7979,0.6243,0,0,0,0,0,0,0,0,0,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:457,-0.0315,0.7979,0.6243,0,0,0,-0.0009,-0.0427,-0.023,0,0,0,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:474,0.0379,0.7932,0.6011,0,0,0,-0.0009,-0.0427,-0.023,0,0,0,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:513,0.0379,0.7932,0.6011,0,0,0,-0.0009,-0.0427,-0.023,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:514,0.0465,0.7886,0.6031,0,0,0,-0.0009,-0.0427,-0.023,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:515,-0.0217,0.8032,0.6331,0,0,0,-0.0009,-0.0427,-0.023,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:522,-0.0217,0.8032,0.6331,0,0,0,-0.0044,-0.0402,-0.0025,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:534,0.0223,0.7984,0.6002,0,0,0,-0.0044,-0.0402,-0.0025,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:535,0.0223,0.7984,0.6002,0,0,0,-0.0044,-0.0402,-0.0025,13.3346,-45.1766,-6.3196,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:580,0.0223,0.7984,0.6002,0,0,0,-0.0044,-0.0402,-0.0025,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:583,0.0482,0.7898,0.6033,0,0,0,-0.0044,-0.0402,-0.0025,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:585,0.0015,0.802,0.6129,0,0,0,-0.0044,-0.0402,-0.0025,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:592,0.0015,0.802,0.6129,0,0,0,-0.0008,0.0052,0.0328,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:593,0.0367,0.7898,0.628,0,0,0,-0.0008,0.0052,0.0328,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:602,0.0347,0.7871,0.606,0,0,0,-0.0008,0.0052,0.0328,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:604,0.0347,0.7871,0.606,-0.0145,0.0411,-0.0488,-0.0008,0.0052,0.0328,12.749,-44.896,-7.1492,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:647,0.0347,0.7871,0.606,-0.0145,0.0411,-0.0488,-0.0008,0.0052,0.0328,12.3098,-44.7252,-7.3444,0,0,0,48.7447547,9.10239929,0,Stop
14:57:31:650,0.0105,0.7879,0.6192,-0.0145,0.0411,-0.0488,-0.0008,0.0052,0.0328,12.3098,-44.7252,-7.3444,0,0,0,48.7447547,9.10239929,0,Stop
