time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:09:50:333,0.0861,0.6025,0.9101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:09:50:333,-0.0281,0.77,0.5901,0,0,0,0,0,0,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:368,0.0421,0.7294,0.6471,0,0,0,0,0,0,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:374,0.0421,0.7294,0.6471,0,0,0,0.059,0.0185,-0.0298,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:376,0.0345,0.6453,0.8392,0,0,0,0.059,0.0185,-0.0298,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:393,-0.0281,0.7206,0.6906,0,0,0,0.059,0.0185,-0.0298,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:429,-0.0281,0.7206,0.6906,0,0,0,0.0281,0.0052,-0.0052,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:431,0.0557,0.7108,0.6874,0,0,0,0.0281,0.0052,-0.0052,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:433,0.0494,0.6842,0.7326,0,0,0,0.0281,0.0052,-0.0052,0,0,0,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:434,0.0494,0.6842,0.7326,0,0,0,0.0281,0.0052,-0.0052,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:443,-0.0399,0.7084,0.737,0,0,0,0.0281,0.0052,-0.0052,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:448,-0.0399,0.7084,0.737,0,0,0,0.0281,0.0052,-0.0052,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:460,0.0316,0.7059,0.7031,0,0,0,0.0281,0.0052,-0.0052,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:496,0.0316,0.7059,0.7031,0,0,0,0.0056,-0.006,0.0071,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:499,0.066,0.6901,0.7192,0,0,0,0.0056,-0.006,0.0071,-23.3142,-25.4736,-18.2024,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:501,0.066,0.6901,0.7192,0,0,0,0.0056,-0.006,0.0071,-23.8388,-25.437,-18.666,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:502,-0.0173,0.7081,0.7243,0,0,0,0.0056,-0.006,0.0071,-23.8388,-25.437,-18.666,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:516,0.0264,0.6928,0.7285,0,0,0,0.0056,-0.006,0.0071,-23.8388,-25.437,-18.666,0,0,0,48.74564052,9.10611229,0,Stop
15:09:50:518,0.0264,0.6928,0.7285,0.046,-0.0396,0.1594,0.0056,-0.006,0.0071,-23.8388,-25.437,-18.666,0,0,0,48.74564052,9.10611229,0,Stop
