time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
15:30:57:960,0.0623,0.6979,0.7014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
15:30:57:961,0.0032,0.6867,0.7456,0,0,0,0,0,0,0,0,0,0,0,0,48.74232934,9.09856451,0,Stop
15:30:57:988,-0.0288,0.7164,0.7233,0,0,0,0,0,0,0,0,0,0,0,0,48.74232934,9.09856451,0,Stop
15:30:57:989,0.0587,0.6998,0.6854,0,0,0,0,0,0,0,0,0,0,0,0,48.74232934,9.09856451,0,Stop
15:30:57:989,-0.0056,0.693,0.7486,0,0,0,0,0,0,0,0,0,0,0,0,48.74232934,9.09856451,0,Stop
15:30:58:001,-0.0056,0.693,0.7486,0,0,0,0.0024,-0.017,-0.0071,0,0,0,0,0,0,48.74232934,9.09856451,0,Stop
15:30:58:016,-0.0173,0.7155,0.7041,0,0,0,0.0024,-0.017,-0.0071,0,0,0,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:017,0.0465,0.6984,0.7131,0,0,0,0.0024,-0.017,-0.0071,0,0,0,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:028,-0.022,0.715,0.7146,0,0,0,0.0024,-0.017,-0.0071,0,0,0,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:052,-0.022,0.715,0.7146,0,0,0,0.0024,-0.017,-0.0071,-25.62,-8.6498,-8.3204,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:054,-0.0015,0.7091,0.7128,0,0,0,0.0024,-0.017,-0.0071,-25.62,-8.6498,-8.3204,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:057,-0.0015,0.7091,0.7128,0,0,0,-0.0067,-0.0097,-0.0089,-25.62,-8.6498,-8.3204,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:078,0.0137,0.7042,0.7102,0,0,0,-0.0067,-0.0097,-0.0089,-25.62,-8.6498,-8.3204,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:080,0.0137,0.7042,0.7102,0,0,0,-0.0067,-0.0097,-0.0089,-25.62,-8.6498,-8.3204,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:120,0.0137,0.7042,0.7102,0,0,0,-0.0067,-0.0097,-0.0089,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:125,-0.0247,0.7094,0.7194,0,0,0,-0.0067,-0.0097,-0.0089,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:127,0.0193,0.7003,0.7165,0,0,0,-0.0067,-0.0097,-0.0089,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:129,0.0193,0.7003,0.7165,0,0,0,-0.0011,0.0198,0.0112,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:131,0.0029,0.7023,0.718,0,0,0,-0.0011,0.0198,0.0112,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:147,-0.0125,0.7064,0.7229,0,0,0,-0.0011,0.0198,0.0112,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:149,-0.0125,0.7064,0.7229,-0.1147,0.0419,-0.0165,-0.0011,0.0198,0.0112,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:186,0.0235,0.6981,0.715,-0.1147,0.0419,-0.0165,-0.0011,0.0198,0.0112,-24.9612,-9.7234,-9.6258,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:187,0.0235,0.6981,0.715,-0.1147,0.0419,-0.0165,-0.0011,0.0198,0.0112,-25.0588,-9.821,-9.7844,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:198,0.0235,0.6981,0.715,-0.1147,0.0419,-0.0165,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:199,0.0049,0.6994,0.7246,-0.1147,0.0419,-0.0165,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:219,0.0044,0.6967,0.7214,-0.1147,0.0419,-0.0165,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:221,0.0044,0.6967,0.7214,-0.0398,-0.0085,0.0186,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,0,0,0,48.7423293,9.09856447,0,Stop
15:30:58:222,0.0044,0.6967,0.7214,-0.0398,-0.0085,0.0186,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:231,0.0176,0.6945,0.7224,-0.0398,-0.0085,0.0186,-0.0004,0.0184,0.0276,-25.0588,-9.821,-9.7844,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:252,0.0176,0.6945,0.7224,-0.0398,-0.0085,0.0186,-0.0004,0.0184,0.0276,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:254,-0.0032,0.6972,0.727,-0.0398,-0.0085,0.0186,-0.0004,0.0184,0.0276,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:265,-0.0032,0.6972,0.727,-0.0398,-0.0085,0.0186,-0.0007,0.0053,0.0198,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:285,0.0146,0.6937,0.726,-0.0398,-0.0085,0.0186,-0.0007,0.0053,0.0198,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:288,0.0129,0.7008,0.7163,-0.0398,-0.0085,0.0186,-0.0007,0.0053,0.0198,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:290,0.0129,0.7008,0.7163,0.0652,-0.0541,0.0279,-0.0007,0.0053,0.0198,-25.0344,-9.8088,-9.6868,90.9219,-44.5749,0.2854,48.7423293,9.09856447,0,Stop
15:30:58:293,0.0129,0.7008,0.7163,0.0652,-0.0541,0.0279,-0.0007,0.0053,0.0198,-25.0344,-9.8088,-9.6868,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:319,0.0129,0.7008,0.7163,0.0652,-0.0541,0.0279,-0.0007,0.0053,0.0198,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:322,0.002,0.7045,0.7233,0.0652,-0.0541,0.0279,-0.0007,0.0053,0.0198,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:328,0.0149,0.7033,0.7165,0.0652,-0.0541,0.0279,-0.0007,0.0053,0.0198,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:335,0.0149,0.7033,0.7165,0.0652,-0.0541,0.0279,0.0015,0.0005,-0.002,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:350,0.0076,0.7062,0.7141,0.0652,-0.0541,0.0279,0.0015,0.0005,-0.002,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
15:30:58:356,0.0076,0.7062,0.7141,0.0214,-0.0465,0.043,0.0015,0.0005,-0.002,-24.9856,-9.7356,-9.5038,90.7535,-44.519,0.2121,48.7423293,9.09856447,0,Stop
