time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:02:33:513,0.0379,0.5913,0.8133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:02:33:513,0.034,0.5884,0.8119,0,0,0,0,0,0,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:524,0.0347,0.5884,0.8131,0,0,0,0,0,0,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:556,0.034,0.5889,0.8077,0,0,0,0,0,0,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:565,0.034,0.5889,0.8077,0,0,0,-0.0003,0.0012,0.0037,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:575,0.033,0.5869,0.816,0,0,0,-0.0003,0.0012,0.0037,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:576,0.0323,0.5879,0.8131,0,0,0,-0.0003,0.0012,0.0037,0,0,0,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:618,0.0323,0.5879,0.8131,0,0,0,-0.0003,0.0012,0.0037,9.3574,-34.3186,-12.4318,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:619,0.033,0.5872,0.8123,0,0,0,-0.0003,0.0012,0.0037,9.3574,-34.3186,-12.4318,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:620,0.0386,0.5891,0.8111,0,0,0,-0.0003,0.0012,0.0037,9.3574,-34.3186,-12.4318,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:623,0.0386,0.5891,0.8111,0,0,0,0.0044,0.0019,0.0148,9.3574,-34.3186,-12.4318,0,0,0,48.727768,9.08774688,0,Stop
12:02:33:635,0.0318,0.5898,0.8089,0,0,0,0.0044,0.0019,0.0148,9.3574,-34.3186,-12.4318,0,0,0,48.727768,9.08774688,0,Stop
