time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:54:48:658,0.1799,0.6387,0.7158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:54:48:658,-0.0088,0.6762,0.7072,0,0,0,0,0,0,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:658,-0.0753,0.6553,0.7984,0,0,0,0,0,0,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:668,0.0596,0.6351,0.7923,0,0,0,0,0,0,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:695,0.1459,0.6463,0.7194,0,0,0,0,0,0,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:698,0.1459,0.6463,0.7194,0,0,0,-0.0189,-0.0145,0.043,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:717,0.0335,0.6461,0.7783,0,0,0,-0.0189,-0.0145,0.043,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:720,-0.0345,0.6585,0.7818,0,0,0,-0.0189,-0.0145,0.043,0,0,0,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:752,-0.0345,0.6585,0.7818,0,0,0,-0.0189,-0.0145,0.043,-19.6054,-33.6476,-14.945,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:755,0.0355,0.6544,0.7483,0,0,0,-0.0189,-0.0145,0.043,-19.6054,-33.6476,-14.945,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:757,0.0355,0.6544,0.7483,0,0,0,-0.0076,-0.0069,-0.0009,-19.6054,-33.6476,-14.945,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:770,0.0936,0.6373,0.7559,0,0,0,-0.0076,-0.0069,-0.0009,-19.6054,-33.6476,-14.945,0,0,0,48.74327958,9.08656764,0,Stop
12:54:48:771,0.0936,0.6373,0.7559,0,0,0,-0.0076,-0.0069,-0.0009,-19.6054,-33.6476,-14.945,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:783,0.0435,0.6309,0.8023,0,0,0,-0.0076,-0.0069,-0.0009,-19.6054,-33.6476,-14.945,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:803,0.0056,0.6539,0.7573,0,0,0,-0.0076,-0.0069,-0.0009,-19.6054,-33.6476,-14.945,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:819,0.0056,0.6539,0.7573,0,0,0,-0.0076,-0.0069,-0.0009,-18.5562,-34.9896,-20.3008,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:822,0.0311,0.659,0.7316,0,0,0,-0.0076,-0.0069,-0.0009,-18.5562,-34.9896,-20.3008,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:826,0.0311,0.659,0.7316,0,0,0,0.0064,0.0067,-0.0172,-18.5562,-34.9896,-20.3008,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:837,0.054,0.6426,0.7757,0,0,0,0.0064,0.0067,-0.0172,-18.5562,-34.9896,-20.3008,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:839,0.054,0.6426,0.7757,-0.1139,0.0204,-0.0221,0.0064,0.0067,-0.0172,-18.5562,-34.9896,-20.3008,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:886,0.054,0.6426,0.7757,-0.1139,0.0204,-0.0221,0.0064,0.0067,-0.0172,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:888,0.0447,0.6424,0.7798,-0.1139,0.0204,-0.0221,0.0064,0.0067,-0.0172,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:889,0.0298,0.6617,0.7409,-0.1139,0.0204,-0.0221,0.0064,0.0067,-0.0172,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:898,0.0298,0.6617,0.7409,-0.1139,0.0204,-0.0221,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:910,0.0257,0.6588,0.7542,-0.1139,0.0204,-0.0221,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:913,0.0257,0.6588,0.7542,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,0,0,0,48.74328006,9.0865697,0,Stop
12:54:48:916,0.0257,0.6588,0.7542,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:918,0.033,0.6463,0.7808,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:953,0.0406,0.6536,0.7603,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.5806,-34.8066,-20.1666,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:957,0.0406,0.6536,0.7603,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.6538,-34.8554,-20.1422,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:965,0.0325,0.6607,0.7471,-0.1117,0.0274,-0.0603,0.0049,0.0032,-0.0116,-18.6538,-34.8554,-20.1422,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:967,0.0325,0.6607,0.7471,-0.1117,0.0274,-0.0603,-0.0011,0.0033,0.0113,-18.6538,-34.8554,-20.1422,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:975,0.0313,0.6527,0.7686,-0.1117,0.0274,-0.0603,-0.0011,0.0033,0.0113,-18.6538,-34.8554,-20.1422,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:977,0.0313,0.6527,0.7686,-0.0627,0.0486,-0.0404,-0.0011,0.0033,0.0113,-18.6538,-34.8554,-20.1422,129.8115,-39.9198,2.7005,48.74328006,9.0865697,0,Stop
12:54:48:979,0.0313,0.6527,0.7686,-0.0627,0.0486,-0.0404,-0.0011,0.0033,0.0113,-18.6538,-34.8554,-20.1422,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:020,0.0313,0.6527,0.7686,-0.0627,0.0486,-0.0404,-0.0011,0.0033,0.0113,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:024,0.0491,0.6483,0.7608,-0.0627,0.0486,-0.0404,-0.0011,0.0033,0.0113,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:025,0.0435,0.6556,0.7527,-0.0627,0.0486,-0.0404,-0.0011,0.0033,0.0113,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:034,0.0435,0.6556,0.7527,-0.0627,0.0486,-0.0404,0.0011,0.0015,0.0072,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:044,0.0225,0.6524,0.7595,-0.0627,0.0486,-0.0404,0.0011,0.0015,0.0072,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:047,0.0225,0.6524,0.7595,-0.0331,0.0459,-0.0313,0.0011,0.0015,0.0072,-18.6904,-34.8188,-20.0934,129.2049,-40.1217,2.341,48.74328006,9.0865697,0,Stop
12:54:49:048,0.0225,0.6524,0.7595,-0.0331,0.0459,-0.0313,0.0011,0.0015,0.0072,-18.6904,-34.8188,-20.0934,128.8684,-40.2467,2.2394,48.74328006,9.0865697,0,Stop
12:54:49:087,0.0225,0.6524,0.7595,-0.0331,0.0459,-0.0313,0.0011,0.0015,0.0072,-18.7514,-34.8066,-20.13,128.8684,-40.2467,2.2394,48.74328006,9.0865697,0,Stop
12:54:49:092,0.0259,0.6509,0.7608,-0.0331,0.0459,-0.0313,0.0011,0.0015,0.0072,-18.7514,-34.8066,-20.13,128.8684,-40.2467,2.2394,48.74328006,9.0865697,0,Stop
