time,gFx,gFy,gFz,ax,ay,az,wx,wy,wz,Bx,By,Bz,Azimuth,Pitch,Roll,Latitude,Longitude,Speed (m/s),Labels
12:57:05:670,0.2124,0.5488,0.8913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Stop
12:57:05:671,0.2151,0.5901,0.7676,0,0,0,0,0,0,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:681,0.0679,0.6275,0.7443,0,0,0,0,0,0,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:709,0.0736,0.6099,0.7993,0,0,0,0,0,0,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:713,0.0736,0.6099,0.7993,0,0,0,-0.0146,-0.027,0.028,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:716,0.2227,0.5767,0.8228,0,0,0,-0.0146,-0.027,0.028,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:733,0.2095,0.5996,0.771,0,0,0,-0.0146,-0.027,0.028,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:735,0.0949,0.6133,0.7915,0,0,0,-0.0146,-0.027,0.028,0,0,0,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:772,0.0949,0.6133,0.7915,0,0,0,-0.0146,-0.027,0.028,6.7588,-4.9044,-44.7862,0,0,0,48.74034317,9.08983544,0,Stop
12:57:05:773,0.1246,0.6113,0.7725,0,0,0,-0.0146,-0.027,0.028,6.7588,-4.9044,-44.7862,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:774,0.1246,0.6113,0.7725,0,0,0,-0.0001,-0.0005,0.015,6.7588,-4.9044,-44.7862,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:783,0.2151,0.5874,0.7988,0,0,0,-0.0001,-0.0005,0.015,6.7588,-4.9044,-44.7862,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:784,0.2151,0.5874,0.7988,0,0,0,-0.0001,-0.0005,0.015,6.7588,-4.9044,-44.7862,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:800,0.1851,0.592,0.7947,0,0,0,-0.0001,-0.0005,0.015,6.7588,-4.9044,-44.7862,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:842,0.1851,0.592,0.7947,0,0,0,-0.0001,-0.0005,0.015,6.7344,-5.0752,-44.5544,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:845,0.1408,0.6018,0.793,0,0,0,-0.0001,-0.0005,0.015,6.7344,-5.0752,-44.5544,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:848,0.1738,0.6038,0.7674,0,0,0,-0.0001,-0.0005,0.015,6.7344,-5.0752,-44.5544,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:851,0.1738,0.6038,0.7674,0,0,0,0.0035,-0.0005,0.0031,6.7344,-5.0752,-44.5544,0,0,0,48.74034422,9.08983451,0,Stop
12:57:05:853,0.1875,0.5857,0.8111,0,0,0,0.0035,-0.0005,0.0031,6.7344,-5.0752,-44.5544,0,0,0,48.74034422,9.08983451,0,Stop
